Name,NAICS Code Description,NAICS Code,Address,City,County,State,Zip Code,Unique Identifier,Latitude,Longitude
Cottin's Hardware Farmers Market,Fruit and Vegetable Markets,445230,1832 Massachusetts Street, Lawrence,Douglas County,Kansas,66044,22FMTS269981,38.950747,-95.235146
Cotton Mill Farmers Market,Fruit and Vegetable Markets,445230,609 Dixie Street, Carrollton,Carroll County,Georgia,30117,22FMTS270143,33.571347,-85.07274
Cozad Grand Generation Center,Fruit and Vegetable Markets,445230,410 W 9th St., Cozad ,Dawson County,Nebraska,69130,22FMTS270049,40.8606228,-99.990115
Croghan Colonial Bank Farmers Market,Fruit and Vegetable Markets,445230,Front Street and Garrison Street, Fremont,Sandusky County,Ohio,43420,22FMTS269951,41.345408,-83.113549
Crystal Lake Farmers Market,Fruit and Vegetable Markets,445230, Woodstock & Williams Streets,Crystal Lake,McHenry County,Illinois,60014,22FMTS269942,42.243752,-88.31701
Davenport Farmers' Market,Fruit and Vegetable Markets,445230,North Park Mall east entrance, Davenport,Scott County,Iowa,52806,22FMTS270139,41.562863,-90.571154
DeKalb Farmers' Market,Fruit and Vegetable Markets,445230,2nd and Locust Streets, DeKalb,DeKalb County,Illinois,60115,22FMTS270079,41.931127,-88.752032
Delcambre Seafood & Farmers Market,Fruit and Vegetable Markets,445230,605 S Railroad (Hwy 330), Delcambre ,Iberia Parish,Louisiana,70528,22FMTS270154,29.941659,-91.982453
Dexter Farmers Market,Fruit and Vegetable Markets,445230,3233 Alpine, Dexter,Washtenaw County,Michigan,48130,22FMTS269971,42.339503,-83.889459
Dodge County Farmer's Market,Fruit and Vegetable Markets,445230,5401 Courthouse Circle, Eastman,Dodge County,Georgia,31023,22FMTS270179,32.20079,-83.176305
Dousman Farmers Market,Fruit and Vegetable Markets,445230,118 S. Main St, Dousman,Waukesha County,Wisconsin,53118,22FMTS269963,43.013121,-88.472514
Down to Earth Chelsea Farmers Market,Fruit and Vegetable Markets,445230,W. 23rd Street off 9th Avenue, New York,New York County,New York,10011,22FMTS270046,40.746359,-74.000805
Down to Earth Larchmont Farmers Market,Fruit and Vegetable Markets,445230,Parking Lot off Chatsworth Ave., Larchmont,Westchester County,New York,10538,22FMTS270071,40.933512,-73.760008
Down to Earth Mamaroneck Winter Farmers Market,Fruit and Vegetable Markets,445230,Harbor Island Park, Mamaroneck,Westchester County,New York,10543,22FMTS270127,40.944797,-73.730404
Down to Earth McGolrick Park Farmers Market,Fruit and Vegetable Markets,445230,At the center of the park, Brooklyn,Kings County,New York,11222,22FMTS270074,40.724358,-73.943291
Down to Earth Morningside Park Farmers Market,Fruit and Vegetable Markets,445230,110th Street and Manhattan Avenue, Manhattan,New York County,New York,10026,22FMTS270075,40.801254,-73.959645
Down to Earth New Rochelle Farmers Market,Fruit and Vegetable Markets,445230,Thomas Paine Cottage Museum, New Rochelle,Westchester County,New York,10804,22FMTS270072,40.93357,-73.791017
Down to Earth Ossining Farmers Market,Fruit and Vegetable Markets,445230,Near the corner of Spring & Main Streets, Ossining,Westchester County,New York,10562,22FMTS270126,41.160793,-73.86341
Down to Earth Park Slope Farmers Market,Fruit and Vegetable Markets,445230,4th Street at 5th Avenue, Park Slope,Kings County,New York,11215,22FMTS270047,40.672303,-73.983867
Down to Earth Queens Botanical Garden Farmers Market,Fruit and Vegetable Markets,445230,Dahlia Avenue at Main Street, Queens,Queens County,New York,11355,22FMTS270076,40.751776,-73.826548
Down to Earth Rye Farmers Market,Fruit and Vegetable Markets,445230,Parking lot off Theodore Fremd Ave., Rye,Westchester County,New York,10580,22FMTS270073,40.983895,-73.686043
Downtown Allen Park Farmers Market,Fruit and Vegetable Markets,445230,Park Avenue and Harrison Avenue, Allen Park,Wayne County,Michigan,48101,22FMTS270037,42.254801,-83.208989
Downtown Elgin Farmers Market,Fruit and Vegetable Markets,445230,S. Spring Ave, Elgin ,Kane County,Illinois,60120,22FMTS270224,42.036328,-88.282543
Downtown Farmers Market,Fruit and Vegetable Markets,445230,on the court square at 4th Street and Maple Street, Murray ,Calloway County,Kentucky,42071,22FMTS270278,36.609868,-88.302435
Downtown Madison Farmers Market,Fruit and Vegetable Markets,445230,2103 Main Street / Historic Red Caboose Site, Madison ,Madison County,Mississippi,39110,22FMTS270041,32.460885,-90.114634
Downtown Phoenix Farmers Market,Fruit and Vegetable Markets,445230,721 N Central Ave, Phoenix,Maricopa County,Arizona,85004,22FMTS270890,33.455875,-112.07341
Dubuque Farmers Market,Fruit and Vegetable Markets,445230,Iowa Street between 10th & 13th Streets, Dubuque,Dubuque County,Iowa,52001,22FMTS269994,42.504521,-90.667851
Durango Farmers Market,Fruit and Vegetable Markets,445230,259 W 9th Street, Durango,La Plata County,Colorado,81301,22FMTS270190,37.273063,-107.88275
Durham Farmers' Market,Fruit and Vegetable Markets,445230,501 Foster Street, Durham,Durham County,North Carolina,27701,22FMTS269916,36.000559,-78.901856
East Nashville Farmers' Market,Fruit and Vegetable Markets,445230,511 Woodland Street, Nashville,Davidson County,Tennessee,37206,22FMTS270080,36.172268,-86.764338
East Point Farmers Market,Fruit and Vegetable Markets,445230,2757 East Point St., East Point ,Fulton County,Georgia,30344,22FMTS270121,33.679488,-84.442141
East Side Farmers' Market,Fruit and Vegetable Markets,445230,760 E Water St Elmira, Elmira,Chemung County,New York,14901,22FMTS270200,42.088757,-76.794875
Easton Farmers' Market,Fruit and Vegetable Markets,445230,128 Larry Holmes Drive , Easton ,Northampton County,Pennsylvania,18042,22FMTS270044,40.689778,-75.206274
Edenton Farmers Market,Fruit and Vegetable Markets,445230,200 North Broad St, Edenton,Chowan County,North Carolina,27932,22FMTS270124,36.062086,-76.607401
Edmonds Museum Summer Market,Fruit and Vegetable Markets,445230,5th Ave between Main and Bell & Bell St. between 5th & 6th Ave, Edmonds,Snohomish County,Washington,98020,22FMTS270110,47.811264,-122.37678
Eldora Farmers Market,Fruit and Vegetable Markets,445230,Corner of Edgington Ave. and 14th Street, Eldora,Hardin County,Iowa,50627,22FMTS270120,42.36051,-93.100656
Empire Farmers Market,Fruit and Vegetable Markets,445230,10234 Front Street, Empire,Leelanau County,Michigan,49630,22FMTS269957,44.811224,-86.063056
Empire Market,Fruit and Vegetable Markets,445230,931 E 4th St, Joplin,Jasper County,Missouri,64801,22FMTS270223,37.087883,-94.502691
Espanola Farmers Market,Fruit and Vegetable Markets,445230,1105 N.Railroad  Avenue, Espanola,Rio Arriba County,New Mexico,87532,22FMTS270017,36.003598,-106.0658
Farm to Fork Farmers Market at Normandy Farms,Fruit and Vegetable Markets,445230,7802 Marsh Road, Indianapolis,Marion County,Indiana,46278,22FMTS270266,39.894467,-86.274997
Farmers' gateway Market,Fruit and Vegetable Markets,445230, 4000 Sunset Boulevard, Steubenville,Jefferson County,Ohio,43952,22FMTS270156,40.377613,-80.669759
Farmers Market of Bluffton,Fruit and Vegetable Markets,445230,40 Calhoun Street, Bluffton,Beaufort County,South Carolina,29910,22FMTS269990,32.234811,-80.862568
Farmers on the Square,Fruit and Vegetable Markets,445230,2A N Hanover St, Carlisle,Cumberland County,Pennsylvania,17013,22FMTS270282,40.201689,-77.189254
Fibonacci's Mount Healthy Farmers Market,Fruit and Vegetable Markets,445230,1445 Compton Road, Cincinnati,Hamilton County,Ohio,45231,22FMTS270241,39.23161,-84.54095
Forest farmers market,Fruit and Vegetable Markets,445230,15583 Forest Road, Forest,Bedford County,Virginia,24551,22FMTS269926,37.36437,-79.285443
Forest Lakes Farmers Market,Fruit and Vegetable Markets,445230,1650 Ashwood Blvd., Charlottesville,Albemarle County,Virginia,22911,22FMTS269958,38.1087,-78.44106
Frankenmuth Farmers Market,Fruit and Vegetable Markets,445230,534 North Main Street, Frankenmuth,Saginaw County,Michigan,48734,22FMTS269960,43.344313,-83.738212
Franklin County Farmers Market,Fruit and Vegetable Markets,445230,404 Wilkinson Blvd., Frankfort,Franklin County,Kentucky,40601,22FMTS270213,38.201613,-84.88021
FRESHFARM Ballston Market,Fruit and Vegetable Markets,445230,901 N Taylor St Arlington,,,Virginia,22203,22FMTS270891,,
FRESHFARM Dupont Market,Fruit and Vegetable Markets,445230,1624 20th St NW , Washington,District of Columbia,District of Columbia,20009,22FMTS270171,38.911806,-77.044967
FRESHFARM Penn Quarter,Fruit and Vegetable Markets,445230,801 F St NW Washington,,,District of Columbia,20004,22FMTS270903,,
Friendswood Farmers Market,Fruit and Vegetable Markets,445230,1100 S Friendswood Dr., Friendswood,Galveston County,Texas,77546,22FMTS270093,29.520767,-95.191302
Fulton County Farmers Market,Fruit and Vegetable Markets,445230,, Rochester,Fulton County,Indiana,46975,22FMTS270137,41.0647645,-86.215833
Gardner Farmers Market,Fruit and Vegetable Markets,445230,136 E Washington St, Gardner ,Johnson County,Kansas,66030,22FMTS270180,38.812999,-94.925777
"Gas City, IN Farmers Market",Fruit and Vegetable Markets,445230,1028 E Main Street, Gas City,Grant County,Indiana,46933,22FMTS270233,40.489812,-85.598506
Georgetown Farmers Market,Fruit and Vegetable Markets,445230,122 Screven St, Georgetown,Georgetown County,South Carolina,29440,22FMTS270104,33.3662089,-79.281782
Glen Arbor Farmers Market,Fruit and Vegetable Markets,445230,6394 Western Ave., Glen Arbor,Leelanau County,Michigan,49636,22FMTS269955,44.897978,-85.986905
GLENCOE,Fruit and Vegetable Markets,445230,201  W CHASTAIN BLVD. WEST, GLENCOE,Etowah County,Alabama,35905,22FMTS270002,33.957828,-85.934714
Glenwood Sunday Market,Fruit and Vegetable Markets,445230,, Chicago,Cook County,Illinois,60608,22FMTS270225,41.837551,-87.681844
Goodhue Farmers Market,Fruit and Vegetable Markets,445230,411 Rosie Park Way, Goodhue ,Goodhue County,Minnesota,55027,22FMTS270264,44.403334,-92.624672
Grandin Village Farmers Market,Fruit and Vegetable Markets,445230,2080 Westover Ave SW, Roanoke,Roanoke city,Virginia,24015,22FMTS270132,37.265053,-79.978064
"Great Falls Farmers Market, Turners Falls",Fruit and Vegetable Markets,445230,Peskeomskut Park, Turners Falls,Franklin County,Massachusetts,1376,22FMTS270042,42.606069,-72.559612
Green Scene Walker Community Farmer's Market,Fruit and Vegetable Markets,445230,617 Michigan Avenue, Walker,Cass County,Minnesota,56484,22FMTS270021,47.100539,-94.584857
Greenbelt Farmers Market,Fruit and Vegetable Markets,445230,25 Crescent Road, Greenbelt,Prince George's County,Maryland,20770,22FMTS270246,39.001146,-76.877296
Guttenberg Farmers Market,Fruit and Vegetable Markets,445230,400 Block of South River Park Drive, Guttenberg,Clayton County,Iowa,52052,22FMTS270169,42.782433,-91.095446
Halifax Market Place & Farmers Market,Fruit and Vegetable Markets,445230,209 South Main Street, Halifax,Halifax County,Virginia,24558,22FMTS269941,36.76317,-78.92836
Hammond's Grandson's Produce,Fruit and Vegetable Markets,445230,7165 Ramsey Street, Fayetteville ,Cumberland County,North Carolina,28311,22FMTS270177,35.1865196,-78.853162
Hanalei Farmers' Market at Hale Halawai 'Ohana O Hanalei,Fruit and Vegetable Markets,445230,55299C Kuhio Hwy , Hanalei,Kauai County,Hawaii,96722,22FMTS270013,22.201731,-159.4992
Haymaker Farmers' Market,Fruit and Vegetable Markets,445230,Franklin Avenue & Summit Street, Kent,Portage County,Ohio,44240,22FMTS270147,41.150692,-81.360033
Helen Albert Certified Farmers' Market,Fruit and Vegetable Markets,445230,1200 N. Vista St., West Hollywood,Los Angeles County,California,90046,22FMTS270240,34.094113,-118.35143
Hereford Farm Market,Fruit and Vegetable Markets,445230,17004 York Rd , Parkton,Baltimore County,Maryland,21030,22FMTS270244,39.4668834,-76.644722
Hernando Farmers Market,Fruit and Vegetable Markets,445230,2535 Highway 51 South, Hernando,DeSoto County,Mississippi,38632,22FMTS270010,34.823026,-89.994281
Hinsdale Farmers Market,Fruit and Vegetable Markets,445230,30 E. Chicago Ave., Hinsdale,DuPage County,Illinois,60521,22FMTS269991,41.8036543,-87.928694
Historic Downtown Farmers Market,Fruit and Vegetable Markets,445230,121 Orange Street, Hot Springs,Garland County,Arkansas,71901,22FMTS270218,34.504886,-93.050943
Historic Farmers Market of Lapeer LLC,Fruit and Vegetable Markets,445230,272 N. Court St. , Lapeer ,Lapeer County,Michigan,48446,22FMTS270070,43.053482,-83.309076
Historic Lewes Farmers Market,Fruit and Vegetable Markets,445230,,,,,,22FMTS270908,,
Holly Springs Farmers Market,Fruit and Vegetable Markets,445230,300 West Ballentine Street, Holly Springs,Wake County,North Carolina,27540,22FMTS270183,35.650573,-78.83619
Homer Farmers Market,Fruit and Vegetable Markets,445230,Ocean Drive, Homer,Kenai Peninsula Borough,Alaska,99603,22FMTS270024,59.638109,-151.51234
Homewood Farmers Market,Fruit and Vegetable Markets,445230,Martin Ave and Chestnut Rd, Homewood,Cook County,Illinois,60430,22FMTS270039,41.562264,-87.666231
Hoodland Farmers Market,Fruit and Vegetable Markets,445230,67212 E. HWY 26, Welches ,Clackamas County,Oregon,97067,22FMTS270254,45.349594,-121.96091
Hopkinton Farmers Market,Fruit and Vegetable Markets,445230,Main Street and Ash Street, Hopkinton,Middlesex County,Massachusetts,1748,22FMTS270029,42.229299,-71.51777
Huguenot-Robious Farmers Market,Fruit and Vegetable Markets,445230,2051 Huguenot Road, Richmond,Chesterfield County,Virginia,23235,22FMTS270138,37.519516,-77.610398
Hunterdon Land Trust Farmers Market,Fruit and Vegetable Markets,445230,111 Mine Street, Flemington,Hunterdon County,New Jersey,8822,22FMTS270197,40.505223,-74.871267
Huntingdon Farmers' Market,Fruit and Vegetable Markets,445230,842 Penn Street, Huntingdon,Huntingdon County,Pennsylvania,16652,22FMTS270062,40.485653,-78.01723
Ida Area Farmers' Market,Fruit and Vegetable Markets,445230,2nd Street, Ida Grove,Ida County,Iowa,51445,22FMTS270118,42.345173,-95.470874
Idaho Falls Farmers' Market,Fruit and Vegetable Markets,445230,A - D St. Memorial Drive, Idaho Falls,Bonneville County,Idaho,83402,22FMTS270012,43.494592,-112.0425
Imlay City Farmers Market,Fruit and Vegetable Markets,445230,120 N Main, Imlay City,Lapeer County,Michigan,48444,22FMTS269992,43.02429,-83.074322
Indian Lake Community Farmers Market,Fruit and Vegetable Markets,445230,144 JOHN RUST RD, INDIAN LAKE,Hamilton County,New York,12842,22FMTS270175,43.782397,-74.270529
Indiana County Farmers Market,Fruit and Vegetable Markets,445230,8th & Church St.,Indiana borough,Indiana County,Indiana,15701,22FMTS270281,40.621852,-79.155021
Ionia Farmers' Market,Fruit and Vegetable Markets,445230,South Steele Street and Adams Street, Ionia,Ionia County,Michigan,48846,22FMTS269982,42.9814841,-85.067726
iowa falls farmers' market,Fruit and Vegetable Markets,445230,Corner of Rocksylvania Ave. anb Stevens St., Iowa Falls,Hardin County,Iowa,50126,22FMTS270119,42.521222,-93.264356
Ithaca Farmers Market,Fruit and Vegetable Markets,445230,Center & Pine River Street, Ithaca,Gratiot County,Michigan,48847,22FMTS269938,43.292319,-84.598559
"Janesville Farmers Market, Inc.",Fruit and Vegetable Markets,445230,Town Square, Janesville ,Rock County,Wisconsin,53545,22FMTS270048,42.681669,-89.023298
