Name,NAICS Code Description,NAICS Code,Address,City,County,State,Zip Code,Phone,Website,UniqueID
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,533 Laney Walker Blvd EXT,Augusta,Richmond,GA,30901,7067220259,www.americold.com,22RWDS270351
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,5787 W Harold Gatty Dr,Salt Lake City,Salt Lake,UT,84116,,www.americold.com,22RWDS270366
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,6150 Xavier Dr SW,Atlanta,Fulton,GA,30336,,www.americold.com,22RWDS270382
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,6765 Imron Dr,Belvidere,Boone,IL,61008,8155445200,www.americold.com,22RWDS270402
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,6875 State St,Bettendorf,Scott,IA,52722,,www.americold.com,22RWDS270404
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,69 Rogers St Ste 3,Gloucester,Essex,MA,01930,9782836100,www.americold.com,22RWDS270405
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,700 S Raymond Ave,Fullerton,Orange,CA,92831,,www.americold.com,22RWDS270410
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,7130 Winnetka Ave N,Brooklyn Park,Hennepin,MN,55428,7635355000,www.americold.com,22RWDS270417
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,720 W Juniper St,Connell,Franklin,WA,99326,5092345691,www.americold.com,22RWDS270420
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,75 Highway 609,Delhi,Richland,LA,71232,3188783361,www.americold.com,22RWDS270428
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,78149 Westland Rd,Hermiston,Umatilla,OR,97838,5415673377,www.americold.com,22RWDS270437
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,8 Lee Blvd,Malvern,Chester,PA,19355,2676408542,www.americold.com,22RWDS270441
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,830 E Horizon Dr,Henderson,Clark,NV,89015,7025665810,www.americold.com,22RWDS270451
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,86 Jackson Concourse,Pendergrass,Jackson,GA,30567,7066934100,www.americold.com,22RWDS270458
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,91 1st Ave,Covington Township,Wayne,PA,18424,,www.americold.com,22RWDS270472
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,92 Old Highway 24,Decatur,Morgan,AL,35601,,www.americold.com,22RWDS270474
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,950 S Sanborn Rd,Salinas,Monterey,CA,93901,8314241537,www.americold.com,22RWDS270481
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,950 Schneider St,Fremont,Dodge,NE,68025,4027217882,www.americold.com,22RWDS270482
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,9501 SE McLoughlin Blvd,Portland,Clackamas,OR,97222,5036543124,www.americold.com,22RWDS270483
"Americold Logistics, LLC",Refrigerated Warehousing and Storage,493120,County Road I,Crete,Saline,NE,68333,4028263660,www.americold.com,22RWDS270492
Americold Realty Trust,Refrigerated Warehousing and Storage,493120,2000 W Pershing St,Appleton,Outagamie,WI,54914,9207304200,www.americold.com,22RWDS270097
Americold Realty Trust,Refrigerated Warehousing and Storage,493120,725 W Pioneer Trce,Pendleton,Madison,IN,46064,7657781020,www.americold.com,22RWDS270422
Animal Feeds International Corp,Refrigerated Warehousing and Storage,493120,6400 Procter EXT,Port Arthur,Jefferson,TX,77642,4099622457,www.animalfeeds.com,22RWDS270391
Applegate Ice Company LLC,Refrigerated Warehousing and Storage,493120,1251 E Bluebell Ln,Tempe,Maricopa,AZ,85281,4806284570,www.applegateice.com,22RWDS269999
Arctic Glacier,Refrigerated Warehousing and Storage,493120,43960 Fremont Blvd,Fremont,Alameda,CA,94538,5107662501,,22RWDS270298
Arctic Processing,Refrigerated Warehousing and Storage,493120,316 E Main St,Davis,Murray,OK,73030,5803692836,,22RWDS270227
Arctic Storage of Utica Inc,Refrigerated Warehousing and Storage,493120,4981 Commercial Dr,Yorkville,Oneida,NY,13495,3157363026,www.arcticfrozenfoods.com,22RWDS270326
"Arkansas Refrigerated Services, Inc",Refrigerated Warehousing and Storage,493120,24 N D St,Fort Smith,Sebastian,AR,72901,4797831006,www.arkansasrefrigerated.com,22RWDS270155
"Arkozya Group of Companies, LLC",Refrigerated Warehousing and Storage,493120,21145 Whitfield Pl # 201,Sterling,Loudoun,VA,20165,2024361400,www.arkozyagroup.com,22RWDS270116
"Arlington Mid-Cities Warehouses, Inc.",Refrigerated Warehousing and Storage,493120,1212 Antler Dr,Mansfield,Tarrant,TX,76063,9729880333,www.amcwhse.com,22RWDS269992
Artco Camanche,Refrigerated Warehousing and Storage,493120,1325 N Washington Blvd,Camanche,Clinton,IA,52730,,,22RWDS270010
Associates Freezers Inc,Refrigerated Warehousing and Storage,493120,7080 Express Ln,Houston,Harris,TX,77078,,,22RWDS270416
Atlanta Bonded Warehouse Corporation,Refrigerated Warehousing and Storage,493120,118 Northpoint Pkwy,Acworth,Cherokee,GA,30102,,www.atlantabonded.com,22RWDS269978
Atlanta Locker Service,Refrigerated Warehousing and Storage,493120,714 Ne 6th St,Atlanta,Logan,IL,61723,2176482333,www.atl.com,22RWDS270418
Atlantic Coast Freezers,Refrigerated Warehousing and Storage,493120,308 Fox Run CT,Mullica Hill,Gloucester,NJ,08062,6093811209,,22RWDS270219
"Auge Company, Inc.",Refrigerated Warehousing and Storage,493120,1305 S Brazos St,San Antonio,Bexar,TX,78207,2102275306,,22RWDS270008
Autopol,Refrigerated Warehousing and Storage,493120,3557 Weikel St,Philadelphia,Philadelphia,PA,19134,2157443122,,22RWDS270250
Avon Locker Plant LLC,Refrigerated Warehousing and Storage,493120,12026 State Road 23,Darlington,Lafayette,WI,53530,6087762336,www.avonlockerplant.com,22RWDS269988
"B & B Trucking Services, Inc.",Refrigerated Warehousing and Storage,493120,601 SW 33rd Ave,Ocala,Marion,FL,34474,3526200205,,22RWDS270372
B & H Fur Storage Co.,Refrigerated Warehousing and Storage,493120,22 N Centre St,Pottsville,Schuylkill,PA,17901,,,22RWDS270128
"B & M Storage and Distribution, Inc.",Refrigerated Warehousing and Storage,493120,690 Gaynor St,Winston Salem,Forsyth,NC,27105,3367674900,www.bandmstorage.com,22RWDS270406
B F & O Inc,Refrigerated Warehousing and Storage,493120,2382 Irvine Rd,Richmond,Madison,KY,40475,8596242082,,22RWDS270154
Baker Cold Storage Inc,Refrigerated Warehousing and Storage,493120,4100 Bandini Blvd,Vernon,Los Angeles,CA,90058,3239800986,www.bakercommodities.com,22RWDS270285
"Basic Industries, Inc.",Refrigerated Warehousing and Storage,493120,220490 FM 2252,Schertz,Guadalupe,TX,78154,2103534958,,22RWDS270133
"Bay Shippers, LLC",Refrigerated Warehousing and Storage,493120,4035 Jimbo Dr,Burton,Genesee,MI,48529,9897538000,www.bayshippers.com,22RWDS270281
Berkshire Brewing Com,Refrigerated Warehousing and Storage,493120,144 Benton St,Stratford,Fairfield,CT,06615,2036901710,www.berkshirebrewing.com,22RWDS270027
"Beverage Solutions and Logistics, Inc.",Refrigerated Warehousing and Storage,493120,1633 E 40th St,Cleveland,Cuyahoga,OH,44103,2162581570,,22RWDS270059
"Bevlink, LLC",Refrigerated Warehousing and Storage,493120,8620 Sorensen Ave Ste 7,Santa Fe Springs,Los Angeles,CA,90670,7146001185,www.bevlink.net,22RWDS270459
Big M Frozen Storage,Refrigerated Warehousing and Storage,493120,5625 W 12000 S,Payson,Utah,UT,84651,,,22RWDS270362
Bio Tech Refrigeration & Electronics,Refrigerated Warehousing and Storage,493120,946 Marisa Ln,Desoto,Dallas,TX,75115,2147291484,,22RWDS270479
Biorepository Resources LLC,Refrigerated Warehousing and Storage,493120,755 Central Ave 3,New Providence,Union,NJ,07974,9087908890,www.brr.us.com,22RWDS270432
Bloms Locker & Meat Processing Plant,Refrigerated Warehousing and Storage,493120,110 E Central Ave,Minot,Ward,ND,58701,7018383016,,22RWDS269961
"Blue Marlin Ice, LLC",Refrigerated Warehousing and Storage,493120,273 Walnut Shade Rd,Dover,Kent,DE,19904,3026977800,www.bluemarlinice.com,22RWDS270191
"Blue Star Growers, Inc.",Refrigerated Warehousing and Storage,493120,200 Blue Star Rd,Cashmere,Chelan,WA,98815,5097822922,www.bluestargrowers.com,22RWDS270093
Bob's Locker Plant Inc,Refrigerated Warehousing and Storage,493120,212 Ballard St,Washington,Washington,KS,66968,7853252920,www.bobslocker.weebly.com,22RWDS270117
"Boise Cold Storage Company, Inc.",Refrigerated Warehousing and Storage,493120,495 S 15th St,Boise,Ada,ID,83702,2083448477,www.boisecoldstorage.com,22RWDS270325
Bond Cold Storage Inc,Refrigerated Warehousing and Storage,493120,623 N 19th Ave E,Newton,Jasper,IA,50208,6417929962,,22RWDS270386
"Boston Fresh, LLC",Refrigerated Warehousing and Storage,493120,1020 W Chestnut St,Brockton,Plymouth,MA,02301,8442337374,www.maglioproduce.com,22RWDS269935
Boyd Trucking,Refrigerated Warehousing and Storage,493120,604 W Locust St,Oxford,Chester,PA,19363,6109325015,,22RWDS270378
Brain Freezers LLC,Refrigerated Warehousing and Storage,493120,65 Main St,Hebron,Tolland,CT,06248,8605301670,www.brainfreezersct.com,22RWDS270392
Bricco Enterprises LLC,Refrigerated Warehousing and Storage,493120,147 Geneva St,Clyde,Wayne,NY,14433,3159230002,,22RWDS270032
Bridge Terminal Inc,Refrigerated Warehousing and Storage,493120,12 Fish Is,New Bedford,Bristol,MA,02740,5089944300,www.maritimeinternational.org,22RWDS269980
"Bristol Storage, Inc.",Refrigerated Warehousing and Storage,493120,1904 N Farm Rd 185,Springfield,Greene,MO,65802,4178666065,,22RWDS270079
Broadway Associates,Refrigerated Warehousing and Storage,493120,400 Broadway,Freehold,Monmouth,NJ,07728,7324622100,,22RWDS270266
Brook Page Inc,Refrigerated Warehousing and Storage,493120,80 19th St,Brooklyn,Kings,NY,11232,7183699130,,22RWDS270442
Brown's Processing,Refrigerated Warehousing and Storage,493120,103 W Jefferson St,Fredonia,Wilson,KS,66736,6203782441,,22RWDS269940
Buckleys Lockers Inc,Refrigerated Warehousing and Storage,493120,2307 E Hawthorne Dr,Newberg,Yamhill,OR,97132,5035388896,,22RWDS270145
Burlington Coat Factory Warehouse Corporation,Refrigerated Warehousing and Storage,493120,403 Dultys Ln,Burlington,Burlington,NJ,08016,6095316752,www.burlington.com,22RWDS270280
Burris Logistics,Refrigerated Warehousing and Storage,493120,10900 Central Port Dr,Orlando,Orange,FL,32824,,www.burrislogistics.com,22RWDS269958
Burris Logistics,Refrigerated Warehousing and Storage,493120,4501 Dignan St,Jacksonville,Duval,FL,32254,9042655990,www.burrislogistics.com,22RWDS270307
"C & P Coolers & Freezers, Inc.",Refrigerated Warehousing and Storage,493120,12230 SW 103rd Ter,Miami,Miami-Dade,FL,33186,,,22RWDS269995
C.P.C. International Apple Co.,Refrigerated Warehousing and Storage,493120,909 Naches Ave,Tieton,Yakima,WA,98947,5096733113,www.cpcintlappleco.com,22RWDS270471
Calfreeze Corp.,Refrigerated Warehousing and Storage,493120,617 W Olympic Blvd,Montebello,Los Angeles,CA,90640,6262821009,www.calfreezecorp.com,22RWDS270383
California Cold Logistics,Refrigerated Warehousing and Storage,493120,700 Jones St,Yuba City,Sutter,CA,95991,5306735627,www.californiacold.com,22RWDS270409
Capitol Station 65 LLC,Refrigerated Warehousing and Storage,493120,2355 Gold Meadow Way # 160,Gold River,Sacramento,CA,95670,9162312112,,22RWDS270151
Capitol Warehousing Corporation,Refrigerated Warehousing and Storage,493120,4461 Duraform Ln,Windsor,Dane,WI,53598,6088469310,www.capitolwhse.com,22RWDS270304
Carl Thompson,Refrigerated Warehousing and Storage,493120,67 Old Farm Rd,Needham,Norfolk,MA,02492,7814558855,,22RWDS270399
Carroll County Locker,Refrigerated Warehousing and Storage,493120,122 E Carroll St,Lanark,Carroll,IL,61046,8154932370,,22RWDS269994
Cassco Ice & Cold Storage,Refrigerated Warehousing and Storage,493120,780 Pleasant Valley Rd,Harrisonburg,Harrisonburg city,VA,22801,5405646807,,22RWDS270435
"Castle & Cooke, Inc.",Refrigerated Warehousing and Storage,493120,7330 Carbide Rd,Baltimore,Anne Arundel,MD,21226,,,22RWDS270424
Central Cold Storage Corporation,Refrigerated Warehousing and Storage,493120,13526 Blackie Rd,Castroville,Monterey,CA,95012,8316334011,,22RWDS270016
Central Florida Foundry Inc,Refrigerated Warehousing and Storage,493120,964 Belle Oak Dr,Leesburg,Lake,FL,34748,3523656969,www.centralfloridafreezer.com,22RWDS270486
Central Maine Cold Storage Inc,Refrigerated Warehousing and Storage,493120,84 Heritage Park Rd,Bucksport,Hancock,ME,04416,4192157955,www.cmcs.biz,22RWDS270452
Central Storage & Warehouse Co Inc,Refrigerated Warehousing and Storage,493120,4309 Cottage Grove Rd,Madison,Dane,WI,53716,6082217600,www.csw-wi.com,22RWDS270294
Central Storage & Warehouse Company,Refrigerated Warehousing and Storage,493120,7800 95th St,Pleasant Prairie,Kenosha,WI,53158,2629477800,www.csw-wi.com,22RWDS270436
Central Storage and Warehouse Co.,Refrigerated Warehousing and Storage,493120,2650 Fortune Dr,Eau Claire,Eau Claire,WI,54703,7158742951,www.csw-wi.com,22RWDS270186
Cherokee Lockers,Refrigerated Warehousing and Storage,493120,120 E Main St,Cherokee,Cherokee,IA,51012,7122252185,www.cherokeermc.org,22RWDS269983
Cheryl's Cookies,Refrigerated Warehousing and Storage,493120,4465 Industrial Center Dr,Obetz,Franklin,OH,43207,6144092630,,22RWDS270305
Cincinnati Freezer Corp,Refrigerated Warehousing and Storage,493120,2191 Victory Pkwy Ste 1,Cincinnati,Hamilton,OH,45206,,,22RWDS270126
Cincinnati Freezer Corp,Refrigerated Warehousing and Storage,493120,2199 Victory Pkwy,Cincinnati,Hamilton,OH,45206,5137713573,,22RWDS270127
Circle K Stores Inc.,Refrigerated Warehousing and Storage,493120,5205 S Lois Ave,Tampa,Hillsborough,FL,33611,,www.circlek.com,22RWDS270345
Cjc Cold Storage LLC,Refrigerated Warehousing and Storage,493120,32 Auburn Drive Southwest,Cartersville,Bartow,GA,30120,,,22RWDS270229
Clark's Locker & Slaughter,Refrigerated Warehousing and Storage,493120,202 S Main Street,Wayne City,Wayne,IL,62895,6188952134,,22RWDS270440
"Classic Wine Storage, LLC",Refrigerated Warehousing and Storage,493120,2915 Riverglen Dr,Fort Worth,Tarrant,TX,76109,6828411669,www.classicwinestorage.com,22RWDS270207
"Cloverleaf Cold Storage Co., LLC",Refrigerated Warehousing and Storage,493120,111 Imperial Dr,Sanford,Lee,NC,27330,9197754474,www.cloverleaf.com,22RWDS269969
"Cloverleaf Cold Storage Co., LLC",Refrigerated Warehousing and Storage,493120,3110 Homeward Way,Fairfield,Butler,OH,45014,5138605992,www.cloverleaf.com,22RWDS270224
"Cloverleaf.me, Inc.",Refrigerated Warehousing and Storage,493120,434 Madison Ave,Covington,Kenton,KY,41011,5132056777,www.cloverleaf.me,22RWDS270296
Cold Chain Integrity,Refrigerated Warehousing and Storage,493120,2825 Crescent Sprng Pike,Erlanger,Kenton,KY,41018,8004471535,www.cciwarehouse.com,22RWDS270198
Cold Storage Associates Ltd,Refrigerated Warehousing and Storage,493120,500 Ne 185th St Unit 15,Miami,Miami-Dade,FL,33179,3056536678,,22RWDS270329
"Cold Storage of Nassau, Inc.",Refrigerated Warehousing and Storage,493120,425 Railroad Ave,Westbury,Nassau,NY,11590,5163334466,www.freeport-ny.findstoragefast.com,22RWDS270291
"Cold Storage Solutions I, Inc.",Refrigerated Warehousing and Storage,493120,310 Kenneth Welch Dr # 1,Lakeville,Plymouth,MA,02347,5089230700,www.cssfreezers.com,22RWDS270221
Cold Storage Warehouse Logistics,Refrigerated Warehousing and Storage,493120,7035 W 65th St,Chicago,Cook,IL,60638,7087012432,,22RWDS270413
"Cold Stream, L.L.C.",Refrigerated Warehousing and Storage,493120,285 Boggess Ln,Winchester,Frederick,VA,22603,,,22RWDS270200
"Coldwide, LLC",Refrigerated Warehousing and Storage,493120,4700 Sheridan St Ste J,Hollywood,Broward,FL,33021,7544001048,www.coldwide.com,22RWDS270315
"Commercial Distribution Center, Inc.",Refrigerated Warehousing and Storage,493120,16500 E Truman Rd,Independence,Jackson,MO,64050,8168361500,www.cdcinc.com,22RWDS270062
Conn Freezer Warehouses Inc,Refrigerated Warehousing and Storage,493120,1666 Route 9w,Milton,Ulster,NY,12547,8457952170,,22RWDS270066
Conn Refrigeration Service,Refrigerated Warehousing and Storage,493120,345 Lenity School Rd,Rostraver Township,Fayette,PA,15012,7249296682,,22RWDS270246
Connies Transfer Station,Refrigerated Warehousing and Storage,493120,305 Front St,McHenry,McHenry,IL,60050,8156796541,,22RWDS270217
"Cool-Pak Solutions, L.P.",Refrigerated Warehousing and Storage,493120,1071 E 233rd St,Carson,Los Angeles,CA,90745,3102216300,www.coolpaksolutions.com,22RWDS269951
"Corning Meat Processing Service, Inc.",Refrigerated Warehousing and Storage,493120,501 Davis Ave,Corning,Adams,IA,50841,6413223614,,22RWDS270331
Country Butcher,Refrigerated Warehousing and Storage,493120,760 6th St,Dawson,Lac qui Parle,MN,56232,3207692238,,22RWDS270434
Creapharm Inc,Refrigerated Warehousing and Storage,493120,2130 NW Pkwy SE Ste Bcd,Marietta,Cobb,GA,30067,6783836165,,22RWDS270118
"Creation Gardens, Inc.",Refrigerated Warehousing and Storage,493120,925 Cowan St,Nashville,Davidson,TN,37207,5025879012,www.whatchefswant.com,22RWDS270475
Cumberland Freezers,Refrigerated Warehousing and Storage,493120,6 N Industrial Blvd,Bridgeton,Cumberland,NJ,08302,8564518300,www.shorelinefreezers.com,22RWDS270369
