Name,NAICS Code Description,NAICS Code,Facility Type,Excess Food (tons per year),ReceivedFood_TonYear,Address,City,County,GNIS,State,Zip Code,Phone Number,Website,Latitude,Longitude,Unique Identifier
MANNA FoodBank,Food Banks,624210,Food Bank,484.428,7535.902,627 Swannanoa River Rd,Asheville,Buncombe County,01008538,NC,28805,828-299-3663,http://www.mannafoodbank.org,35.577091,-82.498667,FB0113
Food Bank of the Albemarle,Food Banks,624210,Food Bank,100.8425,2814.761,109 Tidewater Way,Elizabeth City,Pasquotank County,01026330,NC,27909,252-335-4035,http://www.afoodbank.org,36.268322,-76.208253,FB0114
Second Harvest Food Bank of SENC,Food Banks,624210,Food Bank,173.764,4306.587,"406 Deep Creek Road, PO Box 2009",Fayetteville,Cumberland County,01026124,NC,28312,910-485-8809,http://www.ccap-inc.org/foodbank/index.php,35.040569,-78.854345,FB0115
inter-faith food shuttle,Food Banks,624210,Food Bank,227.584,3268.968,1001 Blair Drive,raleigh,Wake County,01008592,NC,27603,919-250-0043,http://www.foodshuttle.org,35.770075,-78.665907,FB0116
Great Plains Food Bank,Food Banks,624210,Food Bank,583.024,7357.478,1720 3rd Avenue North,Fargo,Cass County,01034226,ND,58102,701-232-6219,http://www.greatplainsfoodbank.org/,46.879472,-96.809391,FB0117
Food Bank for the Heartland,Food Banks,624210,Food Bank,537.918,9601.8405,10525  J Street,Omaha,Douglas County,00835849,NE,68127,402-905-4802,http://www.foodbankheartland.org,41.214204,-96.077742,FB0118
Food Bank of Lincoln,Food Banks,624210,Food Bank,40.927,4596.0005,"4840 Doris Bair Circle, Suite A, PO Box 29228",Lincoln,Lancaster County,00835876,NE,68504,402-466-8170,http://www.lincolnfoodbank.org,40.861938,-96.651562,FB0119
United Food Bank,Food Banks,624210,Food Bank,111.712,11270.2005,245 South Nina Drive,Mesa,Maricopa County,00037026,AZ,85210,480-926-4897,http://www.unitedfoodbank.org,33.409629,-111.850779,FB012
New Hampshire Food Bank,Food Banks,624210,Food Bank,138.3125,4586.393,700 East Industrial Park Drive,Manchester,Hillsborough County,00873179,NH,03109,603-669-9725,http://www.nhfoodbank.org,42.979204,-71.408709,FB0120
The Food Bank of South Jersey,Food Banks,624210,Food Bank,232.5505,4907.091,1501 John Tipton Boulevard,Pennsauken,Camden County,00882273,NJ,08110,856-662-4884,http://www.foodbanksj.org,39.981613,-75.038955,FB0121
Community FoodBank of NJ,Food Banks,624210,Food Bank,840.4335,28218.172,31 Evans Terminal,Hillside,Union County,00882235,NJ,07205,908-355-3663,http://www.cfbnj.org,40.698433,-74.21331,FB0122
"The FoodBank of Monmouth and Ocean Counties, Inc.",Food Banks,624210,Food Bank,114.7885,5138.6165,3300 Route 66,Neptune,Monmouth County,00882910,NJ,07753,732-918-2600,http://www.foodbankmoc.org,40.229424,-74.063504,FB0123
Roadrunner Food Bank,Food Banks,624210,Food Bank,402.202,19022.9095,5840 Office Blvd NE,Albuquerque,Bernalillo County,01702363,NM,87109,505-247-2052,http://www.rrfb.org,35.146371,-106.600968,FB0124
Food Bank of Northern Nevada,Food Banks,624210,Food Bank,154.9565,6429.1155,550 Italy Dr,McCarran,Storey County,00858642,NV,89434,775-331-3663,http://www.fbnn.org,39.534423,-119.475614,FB0125
Three Square,Food Banks,624210,Food Bank,41.221,16752.356,4190 N. Pecos Rd.,Las vegas,Clark County,00863600,NV,89115,702-644-3663,http://www.threesquare.org,36.236512,-115.098707,FB0126
Food Bank For New York City,Food Banks,624210,Food Bank,198.907,38676.3265,355 Food Center Dr.,Bronx,Bronx County,00974101,NY,10474,718-991-4300,http://www.foodbanknyc.org,40.808292,-73.871943,FB0127
Food Bank of WNY,Food Banks,624210,Food Bank,165.7995,7570.564,91 Holt Street,Buffalo,Erie County,00974113,NY,14206,716-852-1305,http://www.foodbankwny.org,42.881324,-78.830613,FB0128
Food Bank of the Southern Tier,Food Banks,624210,Food Bank,201.1565,4826.1805,388 Upper Oakwood Avenue,Elmira,Chemung County,00974106,NY,14903,607-796-6061,http://www.foodbankst.org,42.137953,-76.825096,FB0129
Saint Mary's Food Bank,Food Banks,624210,Food Bank,,,2831 N. 31st Avenue,Phoenix,Maricopa County,00037026,AZ,85009,602-242-3663,http://www.firstfoodbank.org,33.47913,-112.125688,FB013
Regional Food Bank of Northeastern New York,Food Banks,624210,Food Bank,787.2725,16288.859,965 Albany Shaker Rd.,Latham,Albany County,00974099,NY,12110,518-786-3691,http://www.regionalfoodbank.net,42.764889,-73.815525,FB0130
"Foodlink, Inc",Food Banks,624210,Food Bank,324.202,9429.356,1999 Mt. Read Boulevard,Rochester,Monroe County,00974126,NY,14606,585-328-3380,http://www.foodlinkny.org,43.19219,-77.659879,FB0131
Food Bank of Central New York,Food Banks,624210,Food Bank,95.577,8132.7875,7066 Interstate Island Road,Syracuse,Onondaga County,00974132,NY,13209,315-437-1899,http://www.foodbankcny.org,43.111334,-76.276188,FB0132
"Long Island Cares, Inc",Food Banks,624210,Food Bank,88.481,4003.3075,10 Davids Drive,Hauppauge,Suffolk County,00974149,NY,11788,631-582-3663,http://www.licares.org,40.818957,-73.256769,FB0133
Food Bank for Westchester,Food Banks,624210,Food Bank,15.4395,3559.2055,200 Clearbrook Road,Elmsford,Westchester County,00974157,NY,10523,914-923-1100,http://www.foodbankforwestchester.org,41.07308,-73.814035,FB0134
City Harvest,Food Banks,624210,Food Bank,,,"6 East 32nd Street, 5th Fl.",New York City,New York County,00974129,NY,10016,646-412-0600,http://www.cityharvest.org,40.746824,-73.984792,FB0135
Island Harvest,Food Banks,624210,Food Bank,,,199 Second Street,Mineola,Nassau County,00974128,NY,11501,516-294-8528,http://www.islandharvest.org,40.741573,-73.639875,FB0136
Freestore Foodbank,Food Banks,624210,Food Bank,288.1925,11570.88,1141 Central Parkway,Cincinnati,Hamilton County,01074043,OH,45202,513-482-4500,http://www.freestorefoodbank.org,39.107092,-84.519655,FB0137
Greater Cleveland Food Bank,Food Banks,624210,Food Bank,843.936,21492.615,15500 South Waterloo Road,Cleveland,Cuyahoga County,01074030,OH,44110,216-738-2265,http://www.clevelandfoodbank.org,41.567964,-81.572913,FB0138
Mid Ohio Food Bank,Food Banks,624210,Food Bank,,,3960 Brookham Dr.,Grove City,Franklin County,01074037,OH,43123,614-274-7770,http://www.midohiofoodbank.org,39.883151,-83.051217,FB0139
Yuma Community Food Bank,Food Banks,624210,Food Bank,20.763,6638.8705,2404 E 24th St. Ste. A,Yuma,Yuma County,00023901,AZ,85365,928-343-1243,http://www.yumafoodbank.org,32.684208,-114.59211,FB014
Akron-Canton Regional Foodbank,Food Banks,624210,Food Bank,219.3145,12712.1435,350 Opportunity Parkway,Akron,Summit County,01074088,OH,44307,330-535-6900,http://www.akroncantonfoodbank.org,41.073213,-81.536092,FB0140
"The Foodbank, Inc.",Food Banks,624210,Food Bank,113.3935,3898.305,56 Armor Place,Dayton,Montgomery County,01074069,OH,45417,937-461-0265,http://www.thefoodbankdayton.org,39.748612,-84.210707,FB0141
Shared Harvest Foodbank,Food Banks,624210,Food Bank,6.9795,3640.4905,5901 Dixie Highway,Fairfield,Butler County,01074021,OH,45014,513-874-0114,http://www.sharedharvest.org,39.328755,-84.514695,FB0142
SE Ohio Foodbank and Kitchen,Food Banks,624210,Food Bank,17.216,2687.5005,1005 CIC Drive,Logan,Hocking County,01074049,OH,43138,740-385-6813,http://hapcap.org/foodbank,39.536727,-82.392257,FB0143
Second Harvest Food bank of Clark Champaign and Logan Counties,Food Banks,624210,Food Bank,66.464,2925.8955,701 East Columbia Street,Springfield,Clark County,01074024,OH,45503,937-323-6507,http://www.springfieldshfb.org/,39.925123,-83.798613,FB0144
Toledo Northwestern Ohio Food Bank,Food Banks,624210,Food Bank,,,24 East Woodruff Avenue,Toledo,Lucas County,01074060,OH,43604,419-242-5000,http://www.toledofoodbank.org,41.660503,-83.544741,FB0145
Second Harvest Food Bank of North Central Ohio,Food Banks,624210,Food Bank,,,7445 Deer Trail Lane,Lorain,Lorain County,01074059,OH,44053,440-960-2265,http://www.secondharvestfoodbank.org,41.412303,-82.280411,FB0146
Second Havest Mahoning Valley,Food Banks,624210,Food Bank,,,2805 Salt Springs Road,Youngstown,Mahoning County,01074062,OH,44509,330-792-5522,http://www.mahoningvalleysecondharvest.org,41.129476,-80.70554,FB0147
West Ohio Food Bank,Food Banks,624210,Food Bank,,,1380 East Kibby Street (45804),Lima,Allen County,01074015,OH,45804,419-222-7946,http://www.westohiofoodbank.org/,40.730533,-84.080681,FB0148
Regional Food Bank of Oklahoma,Food Banks,624210,Food Bank,938.5355,24978.6895,3355 South Purdue,Oklahoma City,Oklahoma County,01101842,OK,73179,405-972-1111,http://www.regionalfoodbank.org,35.430637,-97.613654,FB0149
Food bank of Contra Costa and Solano,Food Banks,624210,Food Bank,390.261,31892.632,4010 Nelson Ave,Concord,Contra Costa County,01675903,CA,94520,925-676-7543,http://www.foodbankccs.org,38.006284,-122.04764,FB015
Community Food Bank of Eastern Oklahoma,Food Banks,624210,Food Bank,149.725,10861.2675,1304 N. Kenosha Ave.,Tulsa,Tulsa County,01101859,OK,74106,918-585-2800,http://www.okfoodbank.org,36.173911,-95.982275,FB0150
Oregon Food Bank,Food Banks,624210,Food Bank,288.5655,44293.4505,P.O. Box 55370,Portland,Multnomah County,01135861,OR,97218,503-282-0555,http://www.oregonfoodbank.org,45.585047,-122.583279,FB0151
Second Harvest Food Bank of NW PA,Food Banks,624210,Food Bank,77.363,6052.753,1507 Grimm Drive,Erie,Erie County,01209178,PA,16501,814-459-3663,http://www.eriefoodbank.org,42.110023,-80.112941,FB0152
Greater Pittsburgh Community Food Bank,Food Banks,624210,Food Bank,234.413,16406.1615,1 North Linden,Duquesne,Allegheny County,01213657,PA,15110,412-460-3663,http://www.pittsburghfoodbank.org,40.375511,-79.843297,FB0153
Central PA Food Bank,Food Banks,624210,Food Bank,229.693,16544.8345,3908 Corey Road,Harrisburg,Dauphin County,01213667,PA,17109,717-564-1700,http://www.centralpafoodbank.org,40.273188,-76.821968,FB0154
Second Harvest Food Bank of Lehigh Valley & NEPA,Food Banks,624210,Food Bank,8.279,3583.7055,2045 Harvest Way,Allentown,Lehigh County,01209182,PA,18104,610-434-0875,http://www.shfblv.org,40.587813,-75.49633,FB0155
COMMUNITY FOOD WAREHOUSE OF MERCER COUNTY,Food Banks,624210,Food Bank,0.1305,594.7155,109 S Sharpsville Avenue,SHARON,Mercer County,01213678,PA,16146,724-981-0353,http://www.foodwarehouse.org,41.231449,-80.504855,FB0156
Greater BErks Food Bank,Food Banks,624210,Food Bank,45.2845,3522.5265,117 Morgan Drive,Reading,Berks County,01209172,PA,19607,610-926-5802,http://www.berksfoodbank.org/,40.312472,-75.992756,FB0157
H & J Weinberg Food Bank,Food Banks,624210,Food Bank,30.4675,2961.2875,"165 Amber Lane, PO Box 1127",Wilkes Barre,Luzerne County,01209183,PA,18702,570-826-0510,http://www.ceopeoplehelpingpeople.org,41.237967,-75.872893,FB0158
Westmoreland County Food Bank,Food Banks,624210,Food Bank,,,100 Devonshire Drive,Delmont,Westmoreland County,01209191,PA,15626,724-468-8660,http://www.westmorelandfoodbank.org,40.396344,-79.582197,FB0159
Los Angeles Regional Food Bank,Food Banks,624210,Food Bank,989.1465,30063.9715,1734 E. 41st Street,Los Angeles,Los Angeles County,00277283,CA,90058,323-234-3030,http://www.lafoodbank.org,34.008023,-118.242071,FB016
Philabundance,Food Banks,624210,Food Bank,,,3616 S. Galloway Street,Philadelphia,Philadelphia County,01209187,PA,19148,215-339-0900,http://www.philabundance.org,39.902267,-75.156506,FB0160
Rhode Island Community Food Bank,Food Banks,624210,Food Bank,168.9215,5150.829,200 Niantic Ave.,Providence,Providence County,01219781,RI,02907,401-942-6325,http://www.rifoodbank.org,41.797531,-71.439324,FB0161
Harvest Hope Food Bank,Food Banks,624210,Food Bank,1181.188,14731.1335,2220 Shop Road,Columbia,Richland County,01249299,SC,29201,803-254-4432,http://www.harvesthope.org,33.962364,-80.990466,FB0162
Lowcountry Food Bank,Food Banks,624210,Food Bank,114.269,11106.897,2864 Azalea Drive,Charleston,Charleston County,01252740,SC,29405,843-747-8146,http://www.lowcountryfoodbank.org,32.843667,-79.972023,FB0163
Feeding South Dakota,Food Banks,624210,Food Bank,210.1965,6344.259,3511 N. 1st Avenue,Sioux Falls,Minnehaha County,01265772,SD,57104,605-335-0364,http://www.feedingsouthdakota.org,43.58371,-96.72467,FB0164
Chattanooga Area Food Bank,Food Banks,624210,Food Bank,113.7835,7183.06,2009 Curtain Pole Road,Chattanooga,Hamilton County,01639749,TN,37406,423-622-1800,http://www.chattfoodbank.org,35.061955,-85.27497,FB0165
Second Harvest Food Bank of East Tennessee,Food Banks,624210,Food Bank,14.079,9074.648,136 Harvest Lane,Maryville,Blount County,01639726,TN,37801,865-521-0000,http://secondharvestetn.org,35.768154,-83.995841,FB0166
Mid-South Food Bank,Food Banks,624210,Food Bank,275.299,8090.7415,239 S. Dudley Street,Memphis,Shelby County,01639790,TN,38104,901-527-0841,http://www.midsouthfoodbank.org,35.135791,-90.029635,FB0167
Second Harvest Middle TN,Food Banks,624210,Food Bank,418.8175,33551.0415,331 Great Circle Road,Nashville,Davidson County,01639737,TN,37228,615-329-3491,http://www.secondharvestmidtn.org,36.198217,-86.794364,FB0168
Second Harvest Food Bank NE TN,Food Banks,624210,Food Bank,123.137,5299.0515,1020 Jericho Drive,Kingsport,Sullivan County,01639793,TN,37663,423-279-0430,http://www.netfoodbank.org,36.46724,-82.48951,FB0169
Second Harvest Food Bank of Orange County,Food Banks,624210,Food Bank,797.6775,10894.9905,8014 Marine Way,Irvine,Orange County,00277294,CA,92618,949-653-2900,http://www.FeedOC.org,33.671785,-117.714711,FB017
Feeding Texas,Food Banks,624210,Food Bank,,,,Austin,Travis County,01384012,TX,78701,,,30.267594,-97.742988,FB0170
High Plains Food Bank,Food Banks,624210,Food Bank,48.7115,3794.2075,815 S. Ross,Amarillo,Potter County,01383973,TX,79102,806-374-8562,http://www.hpfb.org,35.202043,-101.81573,FB0171
Capital Area Food Bank of Texas,Food Banks,624210,Food Bank,696.5635,19127.041,8201 S. Congress Avenue,Austin,Travis County,01384012,TX,78745,512-282-2111,http://www.austinfoodbank.org,30.176381,-97.784172,FB0172
Food Bank of Corpus Christi,Food Banks,624210,Food Bank,213.377,3715.7515,826 Krill St.,Corpus Christi,Nueces County,01383963,TX,78408,361-887-6291,http://www.foodbankofcorpuschristi.org,27.801095,-97.455561,FB0173
North Texas Food Bank,Food Banks,624210,Food Bank,1162.861,26453.436,4500 S. Cockrell Hill Road,Dallas,Dallas County,01383842,TX,75236,214-330-1396,http://www.ntfb.org,32.68843,-96.891359,FB0174
Tarrant Area Food Bank,Food Banks,624210,Food Bank,551.914,17238.504,2600 Cullen,Fort Worth,Tarrant County,01384005,TX,76107,817-332-9177,http://www.tafb.org,32.761511,-97.353065,FB0175
Houston Food Bank,Food Banks,624210,Food Bank,,,535 Portwall Street,Houston,Harris County,01383886,TX,77029,713-223-3700,http://www.HoustonFoodBank.org,29.780671,-95.275761,FB0176
South Plains Food Bank,Food Banks,624210,Food Bank,175.592,3983.669,4612 Locust Avenue,Lubbock,Lubbock County,01383937,TX,79404,806-763-3003,http://www.spfb.org,33.550671,-101.823814,FB0177
San Antonio Food Bank,Food Banks,624210,Food Bank,,,5200 Old Us Highway 90 West,San Antonio,Bexar County,01383800,TX,78227,210-337-3663,http://www.safoodbank.org,29.417935,-98.593371,FB0178
Food Bank of West Central Texas,Food Banks,624210,Food Bank,270.541,2392.936,5505 N. First,Abilene,Taylor County,01384006,TX,79603,325-695-6311,http://www.fbwct.org,32.455023,-99.794613,FB0179
FOOD Share,Food Banks,624210,Food Bank,251.257,5557.256,4156 Southbank Road,Oxnard,Ventura County,00277320,CA,93036,805-983-7100,http://www.foodshare.com,34.255702,-119.162006,FB018
West Texas Food Bank,Food Banks,624210,Food Bank,149.3035,6746.864,1008 East 2nd Street,Odessa,Ector County,01383853,TX,79761,432-580-6333,http://www.wtxfoodbank.org,31.850597,-102.358136,FB0180
Wichita Falls Area Food Bank,Food Banks,624210,Food Bank,153.8325,2064.338,1230 Midwestern Parkway,Wichita Falls,Wichita County,01384028,TX,76302,940-766-2322,http://www.wfafb.org,33.877006,-98.487359,FB0181
East Texas Food Bank,Food Banks,624210,Food Bank,,,3201 Robertson Road,Tyler,Smith County,01383997,TX,75701,903-597-3663,http://www.easttexasfoodbank.org,32.332998,-95.334311,FB0182
Food Bank RGV,Food Banks,624210,Food Bank,,,724 N. Cage Blvd.,Pharr,Hidalgo County,01383893,TX,78577,956-682-8101,http://www.foodbankrgv.com,26.201766,-98.182791,FB0183
Food Bank of the golden crescent,Food Banks,624210,Food Bank,162.7735,2017.254,3809 E. Rio Grande,Victoria,Victoria County,01384020,TX,77901,361-578-0591,http://www.tfbgc.org,28.808623,-96.960799,FB0184
Southeast Texas Food Bank,Food Banks,624210,Food Bank,198.017,2224.5625,3845 Martin Luther King Parkway,Beaumont,Jefferson County,01383908,TX,77705,409-839-8777,http://setxfoodbank.org,30.049966,-94.078009,FB0185
SOUTH TEXAS FOOD BANK,Food Banks,624210,Food Bank,,,1907 Freight,LAREDO,Webb County,01384025,TX,78041,956-726-3120,http://www.southtexasfoodbank.org/,27.544093,-99.515918,FB0186
Utah Food Bank,Food Banks,624210,Food Bank,379.2085,21576.811,3150 South 900 West,Salt Lake City,Salt Lake County,01448031,UT,84119,801-908-8660,http://www.utahfoodbank.org,40.7047,-111.917008,FB0187
Foodbank of Southeastern Virginia,Food Banks,624210,Food Bank,223.0205,9628.026,800 Tidewater Drive,Norfolk,Norfolk city,01498557,VA,23504,757-627-6599,http://www.foodbankonline.org,36.852477,-76.275242,FB0188
FeedMore,Food Banks,624210,Food Bank,685.867,11843.8025,1415 Rhoadmiller Street,Richmond,Richmond city,01789073,VA,23220,804-521-2500,http://www.feedmore.org,37.566893,-77.455833,FB0189
Feeding America Riverside|San Bernardino,Food Banks,624210,Food Bank,1799.4025,13947.1105,2950 - B Jefferson Street,Riverside,Riverside County,00277297,CA,92504,951-359-4757,http://feedingamericaie.org/,33.945854,-117.423931,FB019
FA Southwest Virginia,Food Banks,624210,Food Bank,187.432,10564.492,1025 Electric Road,Salem,Salem city,01789074,VA,24153,540-342-3011,http://www.faswva.org,37.278786,-80.03569,FB0190
Blue Ridge Area Food Bank,Food Banks,624210,Food Bank,,,96 Laurel Hill Road,Verona,Augusta County,01480098,VA,24482,540-248-3663,http://www.brafb.org,38.200476,-79.006187,FB0191
Fredericksburg Area Food Bank,Food Banks,624210,Food Bank,179.809,1909.823,3631 Lee Hill Drive,Fredericksburg,Spotsylvania County,01480172,VA,22408,540-371-7666,http://www.fredfood.org,38.27049,-77.454895,FB0192
Virginia Peninsula Foodbank,Food Banks,624210,Food Bank,182.8065,5536.8455,2401 Aluminum Avenue,Hampton,Hampton city,01498554,VA,23661,757-596-7188,http://www.hrfoodbank.org,37.006163,-76.405054,FB0193
Vermont Foodbank,Food Banks,624210,Food Bank,31.3055,4172.873,33 Parker Road,Barre,Washington County,01461768,VT,05641,802-476-3341,http://www.vtfoodbank.org/,44.173669,-72.483126,FB0194
Food Lifeline,Food Banks,624210,Food Bank,243.9185,19717.7935,1702 NE 150th St.,Shoreline,King County,01531933,WA,98155,206-545-6600,http://www.foodlifeline.org,47.737567,-122.30944,FB0195
Second Harvest Inland Northwest,Food Banks,624210,Food Bank,280.9205,18595.5285,1234 E. Front Avenue,Spokane,Spokane County,01529225,WA,99202,509-534-6678,http://www.2-harvest.org,47.660562,-117.391251,FB0196
Feeding America Eastern Wisconsin,Food Banks,624210,Food Bank,791.82,11238.7225,1700 W. Fond Du Lac Avenue,Milwaukee,Milwaukee County,01581100,WI,53205,414-931-7400,http://www.feedingamericawi.org/,43.057483,-87.934565,FB0197
Second Harvest Foodbank of Southern Wisconsin,Food Banks,624210,Food Bank,551.937,6986.7095,2802 Dairy Drive,Madison,Dane County,01581072,WI,53718,608-223-9121,http://www.secondharvestmadison.org,43.058311,-89.295079,FB0198
Mountaineer Food Bank,Food Banks,624210,Food Bank,372.978,5446.303,484 Enterprise Drive,Gassaway,Braxton County,01550010,WV,26624,304-364-5518,http://www.mountaineerfoodbank.org,38.656993,-80.743967,FB0199
Community Food Bank of Central Alabama,Food Banks,624210,Food Bank,269.51,5545.544,107 Walter Davis Drive,Birmingham,Jefferson County,00161562,AL,35209,205-942-8911,http://www.feedingal.org,33.473944,-86.839177,FB02
Feeding America San Diego,Food Banks,624210,Food Bank,152.1175,12898.0885,"9455 Waples Street, Suite 135",San Diego,San Diego County,00277301,CA,92121,858-452-3663,http://www.feedingamericasd.org,32.902377,-117.183444,FB020
Facing Hunger Foodbank,Food Banks,624210,Food Bank,6.975,2542.396,1327 Seventh Avenue,Huntington,Cabell County,01550012,WV,25701,304-523-6029,http://facinghunger.org,38.417994,-82.435157,FB0200
South East Alaska Food Bank,Food Banks,624210,Food Bank,,,10020 Crazy Horse Dr.,Junaeu,Juneau City and Borough,01419971,AK,99801,,,58.366007,-134.616221,FB0201
Kodiak Baptist Mission,Food Banks,624210,Food Bank,,,1944 Rezanoff Dr. East,Kodiak,Kodiak Island Borough,01419974,AK,99615,,,57.801144,-152.373482,FB0202
Kenai Peninsula Food Bank,Food Banks,624210,Food Bank,,,33955 Community College Dr.,Soldotna,Kenai Peninsula Borough,01419972,AK,99669,,,60.472659,-151.134257,FB0203
Fairbanks Community Food Bank,Food Banks,624210,Food Bank,,,725 26th Ave.,Fairbanks,Fairbanks North Star Borough,01419969,AK,99701,,,64.823381,-147.716653,FB0204
Selma Area Food Bank,Food Banks,624210,Food Bank,,,PO Box 2513,Selma,Dallas County,00161549,AL,36701,,,32.41796,-87.034599,FB0205
Food Bank of East Alabama,Food Banks,624210,Food Bank,,,375 Industry Dr.,Auburn,Lee County,00161566,AL,36832,,,32.59791,-85.529091,FB0206
West Alabama Food Bank,Food Banks,624210,Food Bank,,,P.O. Box 805,Northport,Tuscaloosa County,00161588,AL,35476,,,33.230511,-87.584259,FB0207
Wiregrass Area United Way FB,Food Banks,624210,Food Bank,,,382 Twitchell Rd,Dothan,Houston County,00161560,AL,36303,,,31.246338,-85.39844,FB0208
Food Bank of North Central Arkansas,Food Banks,624210,Food Bank,,,PO Box 128,Norfolk,Baxter County,00069895,AR,72658,,,36.194591,-92.282227,FB0209
SF-Marin Food Bank,Food Banks,624210,Food Bank,,,900 Pennsylvania Avenue,San Francisco,San Francisco County,00277302,CA,94107,415-282-1900,http://www.sfmfoodbank.org,37.754446,-122.392865,FB021
Bullhead Christian,Food Banks,624210,Food Bank,,,590 Hancock Road,Bullhead City,Mohave County,00025445,AZ,86442,,,35.107943,-114.630741,FB0210
Food Bank for Yolo County,Food Banks,624210,Food Bank,,,1244 Fortna Avenue,Woodland,Yolo County,00277321,CA,95776,,,38.690027,-121.763239,FB0211
North State Food Bank / Community Action Agency of Butte County,Food Banks,624210,Food Bank,,,370 Ryan Avenue,Chico,Butte County,01675842,CA,95973,,,39.806286,-121.853584,FB0212
Yuba Sutter Food Bank,Food Banks,624210,Food Bank,,,460 A Street,Yuba City,Sutter County,00277315,CA,95991,,,39.134674,-121.614211,FB0213
Shasta Senior Nutrition Program ,Food Banks,624210,Food Bank,,,100 Mercy Oaks Drive,Redding,Shasta County,01682610,CA,96003,,,40.61811,-122.328796,FB0214
Community Action of Napa Valley Food Bank,Food Banks,624210,Food Bank,,,"2310 Laurel Street, Suite 1",Napa,Napa County,00277292,CA,94559,,,38.293168,-122.300346,FB0215
Kern County Food Bank,Food Banks,624210,Food Bank,,,P.O. Box 134,Bakersfield,Kern County,02054176,CA,93301,,,35.375314,-119.021517,FB0216
Dovetail Ministries,Food Banks,624210,Food Bank,,,PO Box 711,Walnut,Los Angeles County,00277283,CA,91789,,,34.012064,-117.860801,FB0217
