Name,NAICS_Code_Description,NAICS_Code,Address,City,State,County,Zip Code,Phone,Website,ExcessFood_TonYear_Lowest,ExcessFood_TonYear_Highest,Unique ID,Latitude,Longitude
ACCOMACK COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,23323 WISE COURT,ACCOMAC,VA,ACCOMACK,23301,(757) 787-1095,https://www.co.accomack.va.us/government/constitutional-officers/sheriff/departments/jail,,,CF4763,37.720152,-75.6704025
ACTON CONSERVATION CAMP #11,CORRECTIONAL INSTITUTIONS,922140,8800 SOLEDAD CANYON ROAD,ACTON,CA,LOS ANGELES,93510,(661) 268-0113,http://www.cdcr.ca.gov/Conservation_Camps/,,,CF4764,34.437843,-118.2867255
ACWORTH DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,4400 ACWORTH INDUSTRIAL DR NW,ACWORTH,GA,COBB,30101,(770) 974-0295,https://acworthpolice.org/,6.36,10.48,CF862,34.06059288,-84.66086118
ADA CITY JAIL,CORRECTIONAL INSTITUTIONS,922140,231 S TOWNSEND ST,ADA,OK,PONTOTOC,74820,(580) 332-4466,,,,CF4765,34.77310407,-96.68039223
ADA COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,7200 BARRISTER DR,BOISE,ID,ADA,83704,(208) 577-3000,https://adasheriff.org/,189.87,312.73,CF4135,43.607772,-116.2705725
ADA COUNTY JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,6300 W DENTON ST,BOISE,ID,ADA,83704,(208) 577-4948,https://adacounty.id.gov/Juvenile-Court/Detention-Services,11.01,18.14,CF1354,43.610679,-116.2600875
ADA COUNTY WORK RELEASE CENTER,CORRECTIONAL INSTITUTIONS,922140,7255 BARRISTER DR,BOISE,ID,ADA,83704,(208) 577-3461,https://adasheriff.org/,,,CF4766,43.606458,-116.2725255
ADAIR COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,215 N FRANKLIN ST,KIRKSVILLE,MO,ADAIR,63501,(660) 665-4644,http://youradaircountysheriff.com/wordpress/,9.93,16.35,CF4767,40.196169,-92.583648
ADAIR COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,302 EAST IOWA STREET,GREENFIELD,IA,ADAIR,50849,(641) 743-2148,http://www.adaircountyiowa.org/departments/sheriff/,,,CF1251,41.30502831,-94.45773186
ADAIR COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,600 PAUL MEADE RD,STILWELL,OK,ADAIR,74960,(918) 696-2106,,,,CF4768,35.808102,-94.624092
ADAIR COUNTY REGIONAL JAIL,CORRECTIONAL INSTITUTIONS,922140,204 GREENSBURG ST,COLUMBIA,KY,ADAIR,42728,(270) 384-5701,http://www.adaircountyregionaljail.com/,7.91,13.03,CF1069,37.10385,-85.306581
ADAIR COUNTY RESTRICTED CUSTODY CENTER,CORRECTIONAL INSTITUTIONS,922140,204 GREENSBURG ST,COLUMBIA,KY,ADAIR,42728,(270) 384-5701,http://www.kyjailers.com/adair.aspx,4.81,7.92,CF663,37.10385,-85.306581
ADAIR YOUTH DEVELOPMENT CENTER,CORRECTIONAL INSTITUTIONS,922140,401 APPLEBY DRIVE,COLUMBIA,KY,ADAIR,42728,(270) 384-0811,https://djj.ky.gov/Facilities/Pages/Youth-Development-Centers.aspx,12.41,20.44,CF1436,37.08669488,-85.30399863
ADAMS COUNTY ADULT CORRECTIONAL COMPLEX,CORRECTIONAL INSTITUTIONS,922140,45 MAJOR BELL LANE,GETTYSBURG,PA,ADAMS,17325,(717) 334-7671,http://www.adamscounty.us/Dept/ACF/Pages/default.aspx,69.65,114.72,CF3225,39.85857,-77.1586335
ADAMS COUNTY DETENTION FACILITY,CORRECTIONAL INSTITUTIONS,922140,150 N 19TH AVE,BRIGHTON,CO,ADAMS,80601,(303) 654-1850,http://www.adamssheriff.org/,248.20,408.80,CF4359,39.990942,-104.7978225
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,500 NINTH STREET,CORNING,IA,ADAMS,50841,(641) 322-4444,https://sites.google.com/site/adamscountysheriffsoffice/,3.41,5.62,CF384,40.99097191,-94.73444491
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,210 W BROADWAY AVE,RITZVILLE,WA,ADAMS,99169,(509) 659-1122,http://www.co.adams.wa.us/government/sheriff/jail_information.php,4.65,7.67,CF4770,47.127348,-118.382661
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,521 VERMONT STREET,QUINCY,IL,ADAMS,62301,(217) 277-2202,http://www.co.adams.il.us/Jail/index.htm,18.62,30.66,CF1868,39.934908,-91.407474
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,110 WEST MAIN STREET,WEST UNION,OH,ADAMS,45693,(937) 544-2314,http://www.adamscountyso.com/AdamsCoSO_Inmatelist.html,,,CF4772,38.794968,-83.5461
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,201 INDUSTRIAL AVENUE,COUNCIL,ID,ADAMS,83612,(208) 253-4168,http://co.adams.id.us/departments/sheriff/,,,CF4771,44.7376785,-116.4379177
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,306 STATE STREET,NATCHEZ,MS,ADAMS,39120,(601) 442-2752,http://www.adamscosheriff.org/,,,CF4769,31.5594,-91.405089
ADAMS COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,911 W PEACEKEEPERS WAY,DECATUR,IN,ADAMS,46733,(260) 724-5345,https://www.co.adams.in.us/186/Sheriffs-Department,,,CF599,40.809717,-84.9302055
ADAMS COUNTY JAIL / SHERIFF,CORRECTIONAL INSTITUTIONS,922140,500 WEST 4TH STREET,HASTINGS,NE,ADAMS,68902,(402) 461-7181,http://www.adamscounty.org/sheriff,5.74,9.45,CF781,40.587489,-98.3881125
ADAMS COUNTY JAIL / SHERIFF,CORRECTIONAL INSTITUTIONS,922140,301 ADAMS ST,FRIENDSHIP,WI,ADAMS,53934,(608) 339-4239,http://www.adamsso.com/jail-division-.html,,,CF4773,43.97210612,-89.81498521
ADAMS COUNTY JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,320 STATE STREET,NATCHEZ,MS,ADAMS,39120,(601) 304-7886,https://www.adamscountyms.net/juvenile-detention-center,4.03,6.64,CF509,31.55965452,-91.4050956
ADAMS COUNTY JUVENILE DETENTION FACILITY,CORRECTIONAL INSTITUTIONS,922140,200 NORTH 52ND STREET,QUINCY,IL,ADAMS,62305,(217) 277-2233,http://www.co.adams.il.us/Juvenile_center/index.htm,4.65,7.67,CF600,39.932181,-91.33335
ADAMS COUNTY SHERIFF'S DEPARTMENT,CORRECTIONAL INSTITUTIONS,922140,604 ADAMS AVENUE,HETTINGER,ND,ADAMS,58639,(701) 567-2530,,,,CF4774,46.00126948,-102.6338063
ADAMS YOUTH SERVICES CENTER,CORRECTIONAL INSTITUTIONS,922140,1933 E BRIDGE ST,BRIGHTON,CO,ADAMS,80601,(303) 659-4450 EXT 210,https://www.colorado.gov/pacific/cdhs/youth-corrections-residential-facilities,4.65,7.67,CF601,39.98686778,-104.7975149
ADDISON COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,35 COURT ST,MIDDLEBURY,VT,ADDISON,05753,(802) 388-2981,https://www.vtsheriffs.com/addison-county.php?id=1,3.41,5.62,CF383,44.01144,-73.163655
ADELANTO ICE PROCESSING CENTER,CORRECTIONAL INSTITUTIONS,922140,10400 RANCHO ROAD,ADELANTO,CA,SAN BERNARDINO,92301,(760) 561-6100,https://www.geogroup.com/Locations,300.94,495.67,CF4486,34.559838,-117.4389525
ADELPHOI VILLAGE-EBENSBURG,CORRECTIONAL INSTITUTIONS,922140,557 MANOR DR,EBENSBURG,PA,CAMBRIA,15931,(814) 846-4214,,1.86,3.07,CF151,40.489974,-78.69708
ADIRONDACK CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,196 RAY BROOK RD,RAY BROOK,NY,ESSEX,12977,(518) 891-1343,https://doccs.ny.gov/location/adirondack-adolescent-offender-facility,86.56,142.57,CF3422,44.29387414,-74.09714565
ADULT DIAGNOSTIC AND TREATMENT CENTER,CORRECTIONAL INSTITUTIONS,922140,"8 PRODUCTION WAY, P.O. BOX 190",WOODBRIDGE,NJ,MIDDLESEX,07095,(732) 574-2250,https://www.state.nj.us/corrections/pages/index.shtml,79.42,130.82,CF3335,40.58902576,-74.27434297
AHTANUM VIEW WORK RELEASE CENTER,CORRECTIONAL INSTITUTIONS,922140,2009 S 64TH AVE,YAKIMA,WA,YAKIMA,98903,(509) 573-6318,https://www.doc.wa.gov/corrections/incarceration/work-release/locations.htm#ahtanum-view,9.31,15.33,CF1177,46.56869832,-120.5937626
AIKEN COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,435 WIRE RD,AIKEN,SC,AIKEN,29801,(803) 642-2040,https://www.aikencountysc.gov/DspOfc?qOfcID=DTN,69.81,114.98,CF3230,33.59235306,-81.67822331
AIRWAY HEIGHTS CORRECTIONS CENTER,CORRECTIONAL INSTITUTIONS,922140,11919 W SPRAGUE AVE,AIRWAY HEIGHTS,WA,SPOKANE,99001,(509) 244-6700,https://www.doc.wa.gov/corrections/incarceration/prisons/ahcc.htm,333.83,549.84,CF4542,47.655909,-117.5760135
AITKIN COUNTY JAIL / SHERIFF,CORRECTIONAL INSTITUTIONS,922140,217 2ND STREET NORTHWEST,AITKIN,MN,AITKIN,56431,(218) 927-7456,http://www.co.aitkin.mn.us/departments/public-safety/public-safety.html,13.81,22.74,CF1543,46.53325437,-93.70992627
ALABAMA DEPARTMENT OF YOUTH SERVICES - AUTAUGA,CORRECTIONAL INSTITUTIONS,922140,1601 COUNTY ROAD 57,PRATTVILLE,AL,AUTAUGA,36067,(334) 361-9161,http://dys.alabama.gov/index.html,12.10,19.93,CF1420,32.52164738,-86.53015706
ALABAMA DEPARTMENT OF YOUTH SERVICES - MT. MEIGS,CORRECTIONAL INSTITUTIONS,922140,1000 INDUSTRIAL SCHOOL ROAD,MONTGOMERY,AL,MONTGOMERY,36057,(334) 215-6094,http://dys.alabama.gov/index.html,40.95,67.45,CF2757,32.371902,-86.0837895
ALABAMA THERAPEUTIC EDUCATION FACILITY,CORRECTIONAL INSTITUTIONS,922140,102 INDUSTRIAL PARKWAY,COLUMBIANA,AL,SHELBY,35051,(205) 669-1187,https://www.geogroup.com/Locations,112.31,184.98,CF3648,33.182829,-86.624145
ALABASTER CITY JAIL,CORRECTIONAL INSTITUTIONS,922140,201 1ST STREET N,ALABASTER,AL,SHELBY,35007,(205) 663-7401,,,,CF4775,33.245343,-86.816187
ALACHUA ACADEMY,CORRECTIONAL INSTITUTIONS,922140,3430 NE 39TH AVENUE,GAINESVILLE,FL,ALACHUA,32609,(352) 872-5152,https://www.sequelyouthservices.com/secure-residential/sequel-program-alachua,4.34,7.15,CF550,29.680245,-82.271925
ALACHUA COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,3333 NE 39TH AVE,GAINESVILLE,FL,ALACHUA,32609,(352) 491-4444,http://www.alachuasheriff.org/jail/overview.html,178.08,293.31,CF4054,29.678364,-82.279611
ALACHUA REGIONAL JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,3440 NE 39TH AVE,GAINESVILLE,FL,ALACHUA,32609,(352) 955-2105,http://www.djj.state.fl.us/programs-facilities/detention-centers,7.45,12.26,CF959,29.678751,-82.2717405
ALAMANCE COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,109 SOUTH MAPLE STREET,GRAHAM,NC,ALAMANCE,27253,(336) 570-6317,https://www.alamance-nc.com/sheriff/,61.43,101.18,CF3121,36.068409,-79.403436
ALAMOSA COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,1315 17TH ST,ALAMOSA,CO,ALAMOSA,81101,(719) 589-6608,https://www.colorado.gov/pacific/alamosacounty/sheriff-3,,,CF4776,37.45477225,-105.8765223
ALBANY COUNTY CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,840 ALBANY SHAKER RD,ALBANY,NY,ALBANY,12211,(518) 869-2600,http://www.albanycounty.com/Government/Departments/CountySheriff/Corrections.aspx,161.80,266.49,CF3957,42.751755,-73.815912
ALBANY COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,420 IVINSON AVE,LARAMIE,WY,ALBANY,82070,(307) 755-3521,http://www.co.albany.wy.us/detention-center.aspx,,,CF4777,41.31182162,-105.5918956
ALBANY TRANSITIONAL CENTER,CORRECTIONAL INSTITUTIONS,922140,304 NORTH WASHINGTON STREET,ALBANY,GA,DOUGHERTY,31701,(229) 430-3888,http://www.dcor.state.ga.us/facility-finder,24.04,39.60,CF2195,31.58037,-84.1510845
ALBEMARLE CORRECTIONAL INSTITUTION,CORRECTIONAL INSTITUTIONS,922140,44150 AIRPORT RD,NEW LONDON,NC,STANLY,28127,(704) 422-3036,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Albemarle-Correctional-Institution,126.58,208.49,CF3735,35.416053,-80.1373455
ALBEMARLE DISTRICT JAIL,CORRECTIONAL INSTITUTIONS,922140,210 EXECUTIVE DRIVE SOUTH,ELIZABETH CITY,NC,PASQUOTANK,27909,(252) 335-4844,https://www.albemarlejail.org/,38.47,63.36,CF2666,36.357498,-76.307112
ALBEMARLE-CHARLOTTESVILLE REGIONAL JAIL,CORRECTIONAL INSTITUTIONS,922140,160 PEREGORY LANE,CHARLOTTESVILLE,VA,ALBEMARLE,22902,(434) 977-6981,https://www.acrj.org/,51.04,84.06,CF2984,38.006073,-78.4945575
ALBERT C WAGNER YOUTH CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,500 WARD AVE,CHESTERFIELD,NJ,BURLINGTON,08515,(609) 298-0500,https://www.state.nj.us/corrections/pages/index.shtml,160.09,263.68,CF3943,40.154499,-74.6565975
ALBERT ELIAS RESIDENTIAL COMMUNITY HOME,CORRECTIONAL INSTITUTIONS,922140,479 WEST BURLINGTON STREET,BORDENTOWN,NJ,BURLINGTON,08505,(609) 324-3610,https://www.state.nj.us/corrections/pages/index.shtml,3.88,6.39,CF475,40.14199518,-74.71661748
ALBERTVILLE CITY JAIL,CORRECTIONAL INSTITUTIONS,922140,201 SOUTH BROAD STREET,ALBERTVILLE,AL,MARSHALL,35950,(256) 878-1212,,,,CF4778,34.266852,-86.209758
ALBION CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,3595 STATE SCHOOL RD,ALBION,NY,ORLEANS,14411,(585) 589-5511,https://doccs.ny.gov/location/albion-correctional-facility,170.64,281.05,CF4000,43.242741,-78.213816
ALCONA COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,214 WEST MAIN STREET,HARRISVILLE,MI,ALCONA,48740,(989) 724-6271,http://alconasheriff.com/home/corrections/,4.81,7.92,CF664,44.65652986,-83.29670452
ALCORN COUNTY JUVENILE DETENTION,CORRECTIONAL INSTITUTIONS,922140,2861 SOUTH HARPER ROAD,CORINTH,MS,ALCORN,38834,(662) 287-5384,http://www.scribd.com/doc/20488167/Final-Juvenile-Detention-Monitoring-in-Mississippi,2.48,4.09,CF230,34.911003,-88.55067677
ALCORN COUNTY REGIONAL CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,2839 SOUTH HARPER RD,CORINTH,MS,ALCORN,38834,(662) 286-7085,https://www.mdoc.ms.gov/Institutions/Pages/Regional-Facilities.aspx#Leake,46.54,76.65,CF2889,34.9103552,-88.54928596
ALCOVY DIVERSION CENTER,CORRECTIONAL INSTITUTIONS,922140,1417 S MADISON AVE,MONROE,GA,WALTON,30655,(770) 207-4171,http://www.buzzfile.com/business/Alcovy-Diversion-Center-770-207-4177,,,CF4779,33.77099515,-83.70034271
ALDER CONSERVATION CAMP #20,CORRECTIONAL INSTITUTIONS,922140,1400 ALDER CAMP ROAD,KLAMATH,CA,DEL NORTE,95548,(707) 482-4511,http://www.cdcr.ca.gov/Conservation_Camps/,16.91,27.85,CF1787,41.498613,-124.064721
ALEX CITY COMMUNITY BASED FACILITY / COMMUNITY WORK CENTER,CORRECTIONAL INSTITUTIONS,922140,HIGHWAY 22 WEST,ALEX CITY,AL,COOSA,35011,(256) 234-7533,http://www.doc.state.al.us/FacAddr.aspx,53.67,88.40,CF3016,32.91946255,-85.98998563
ALEXANDER CORRECTIONAL INSTITUTION,CORRECTIONAL INSTITUTIONS,922140,633 OLD LANDFILL RD,TAYLORSVILLE,NC,ALEXANDER,28681,(828) 632-1331,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities,183.05,301.49,CF4098,35.88456186,-81.1703533
ALEXANDER COUNTY LAW ENFORCEMENT CENTER,CORRECTIONAL INSTITUTIONS,922140,91 COMMERCIAL PARK AVE,TAYLORSVILLE,NC,ALEXANDER,28681,(828) 632-0304,https://alexandersheriff.org/divisions/detention/,25.44,41.90,CF2253,35.908416,-81.179739
ALEXANDER REGIONAL JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,928 NC HWY 16 S,TAYLORSVILLE,NC,ALEXANDER,28681,(828) 632-1141,https://www.ncdps.gov/juvenile-justice/juvenile-facility-operations/juvenile-detention-centers,3.72,6.13,CF411,35.908371,-81.1785015
ALEXANDRIA CITY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,2001 MILL RD,ALEXANDRIA,VA,ALEXANDRIA,22314,(703) 746-4099,https://www.alexandriava.gov/sheriff/info/default.aspx?id=8460,65.62,108.08,CF3187,38.797497,-77.0642595
ALEXANDRIA STAGING FACILITY,CORRECTIONAL INSTITUTIONS,922140,96 GEORGE THOMPSON DR,ALEXANDRIA,LA,RAPIDES,71303,(318) 483-1600,https://www.geogroup.com/Locations,62.05,102.20,CF3128,31.27873,-92.48987
ALFALFA COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,300 S GRAND AVE,CHEROKEE,OK,ALFALFA,73728,(580) 596-3269,,,,CF4780,36.75519,-98.3567385
ALFRED D NOYES CHILDREN'S CENTER,CORRECTIONAL INSTITUTIONS,922140,9925 BLACKWELL RD,ROCKVILLE,MD,MONTGOMERY,20850,(301) 315-1610,https://djs.maryland.gov/Pages/facilities/Alfred-D-Noyes-Children-Center.aspx,8.84,14.56,CF1150,39.102867,-77.2047675
ALGER CORRECTIONAL FACILITY,CORRECTIONAL INSTITUTIONS,922140,N6141 INDUSTRIAL PARK DR,MUNISING,MI,ALGER,49862,(906) 387-5000,"http://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385---,00.html",193.29,318.35,CF4155,46.38010217,-86.6361183
ALGER COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,101 COURT STREET,MUNISING,MI,ALGER,49862,(906) 387-7023,https://www.algercourthouse.com/departments/sheriff/index.php,3.88,6.39,CF476,46.40754848,-86.65896707
ALGOA CORRECTIONAL CENTER,CORRECTIONAL INSTITUTIONS,922140,8501 NO MORE VICTIMS RD,JEFFERSON CITY,MO,COLE,65101,(573) 751-3911,https://doc.mo.gov/facilities/all,242.77,399.86,CF4348,38.549385,-92.047977
ALHAMBRA CITY JAIL,CORRECTIONAL INSTITUTIONS,922140,211 SOUTH FIRST STREET,ALHAMBRA,CA,LOS ANGELES,91801,(626) 570-5145,https://www.cityofalhambra.org/departments/police-department,11.01,18.14,CF1355,34.092054,-118.1264895
ALLEGAN COUNTY CORRECTIONS CENTER,CORRECTIONAL INSTITUTIONS,922140,640 RIVER ST,ALLEGAN,MI,ALLEGAN,49010,(269) 673-0500,http://cms.allegancounty.org/sheriff/corrections/SitePages/Home.aspx#.WrE1IvnwbmE,34.90,57.49,CF2575,42.541497,-85.8473415
ALLEGAN COUNTY JUVENILE DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,2243 33RD ST,ALLEGAN,MI,ALLEGAN,49010,(269) 686-4630,http://cms.allegancounty.org/sites/Office/CC/Family/Detention/SitePages/Home.aspx#.WrE2ZfnwbmE,3.41,5.62,CF385,42.582312,-85.8686985
ALLEGANY COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,14300 MCMULLEN HWY,CUMBERLAND,MD,ALLEGANY,21502,(301) 729-8540,https://gov.allconet.org/1617/Detention-Center,36.30,59.79,CF2606,39.59943818,-78.82478848
ALLEGANY COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,4884 STATE ROUTE 19S,BELMONT,NY,ALLEGANY,14813,(585) 268-9428,http://www.alleganyco.com/departments/sheriffs-office/,,,CF4781,42.212799,-78.0165045
ALLEGHANY COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,40 ALLEGHANY STREET,SPARTA,NC,ALLEGHANY,28675,(336) 372-6233,http://www.alleghanycounty-nc.gov/sheriff.php,11.79,19.42,CF1402,36.506682,-81.1202715
ALLEGHANY REGIONAL JAIL,CORRECTIONAL INSTITUTIONS,922140,268 W MAIN ST,COVINGTON,VA,ALLEGHANY,24426,(540) 965-1776,http://www.alleghanysheriff.us/,,,CF4782,37.792719,-79.995771
ALLEGHENY COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,950 2ND AVE,PITTSBURGH,PA,ALLEGHENY,15219,(412) 350-2000,http://www.alleghenycounty.us/jail/index.aspx,490.82,808.40,CF4669,40.434534,-79.993602
ALLEGHENY COUNTY TREATMENT ALTERNATIVES (ACTA),CORRECTIONAL INSTITUTIONS,922140,2410 FIFTH AVENUE,PITTSBURGH,PA,ALLEGHENY,15213,(412) 535-4343,https://www.theprogrampgh.org/,7.76,12.78,CF1029,40.436739,-79.970382
ALLEN CORRECTIONAL CENTER,CORRECTIONAL INSTITUTIONS,922140,3751 LAUDERDALE WOODYARD RD,KINDER,LA,ALLEN,70648,(337) 639-2943,http://www.doc.la.gov/contact/correctional-facilities/,244.48,402.67,CF4354,30.56719146,-92.78650767
ALLEN COUNTY DETENTION CENTER,CORRECTIONAL INSTITUTIONS,922140,196 WOOD ST,SCOTTSVILLE,KY,ALLEN,42164,(270) 237-3226,http://www.allencountydetention.com/index2.html,11.17,18.40,CF1359,36.74906733,-86.19142012
ALLEN COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,1 NORTH WASHINGTON STREET,IOLA,KS,ALLEN,66749,(620) 365-1400,http://allencosheriff.org/,12.25,20.18,CF4783,37.922544,-95.4044505
ALLEN COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,333 N MAIN ST,LIMA,OH,ALLEN,45801,(419) 227-3535,https://www.acso-oh.us/sheriffs-office-divisions/corrections-division/,32.58,53.66,CF1431,40.743612,-84.105558
ALLEN COUNTY JAIL,CORRECTIONAL INSTITUTIONS,922140,417 S CALHOUN ST,FT WAYNE,IN,ALLEN,46802,(260) 449-7376,http://www.allencountysheriff.org/,,,CF2504,41.083074,-85.1398155
ALLEN COUNTY JUVENILE CENTER,CORRECTIONAL INSTITUTIONS,922140,2929 WELLS ST,FORT WAYNE,IN,ALLEN,46808,(260) 449-8034,http://acjc.us/,21.72,35.77,CF2059,41.103891,-85.14756
