Name,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Phone,Facility's Website,Unique Identifier,Latitude,Longitude
Ft. Sill Composting Facility,,Fort Sill,Comanche County,OK,73503,,,https://www.deq.ok.gov/wp-content/uploads/land-division/active_waste_facilities.pdf,580-442-3266,,CMP20222989,34.67207,-98.391345
RIO-BAK - CONNERS HIGHWAY,,LOXAHATCHEE,Palm Beach County,FL,33470,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(561) 718-8211 ,,CMP2022619,26.77752,-80.27234
"CORDWIN TREE SERVICE, INC.",,OCALA ,Marion County,FL,34470,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 427-5931 ,,CMP2022908,29.192555,-82.129816
CITY OF BROWNSVILLE COMPOSTING FACILITY,,BROWNSVILLE,Cameron County,TX,78520,,"*wastewater solids, source-separated MSW organics, paper production waste; source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223350,25.9080171,-97.4991375
RYDBERG GRINDING FACILITY,,BUSHNELL ,Sumter County,FL,33513,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 799-7240 ,,CMP2022919,28.6645451,-82.11486
CITY OF PORT ST. JOE YARD TRASH TRANSFER STATION,,PORT SAINT JOE ,Gulf County,FL,32465,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(850) 229-8261 ,,CMP2022899,30.11002,-85.198865
Beaver County SSD 5 Compost,,MILFORD,Beaver County,UT,84751,,,https://documents.deq.utah.gov/waste-management-and-radiation-control/solid-waste/DSHW-2019-015532.pdf,,https://deq.utah.gov/legacy/programs/waste-management-radiation-control/solid-waste/docs/2013/06Jun/Compost_List.pdf,CMP20223432,38.39565,-113.01443
Bmc Corp Compost Site,,Billerica,Middlesex County,MA,01866,,,https://recyclingworksma.com/,,,CMP20221727,42.52947,-71.22787
"Blue Ribbon Farms, LLC",,Cave Springs,Benton County,AR,72718,,Yard waste,https://www.adeq.state.ar.us/sw/permits/facility_data.aspx#Display,(479) 636-1717,,CMP202263,36.25273,-94.2264
CAMPBELL FARMS,,PLAINS,Yoakum County,TX,79355,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223339,33.140215,-102.956725
BREUNINGER LAND LLC,,DEXTER,Washtenaw County,MI,48130,,,https://www.egle.state.mi.us/wdspi/AdvancedSearch.aspx,,,CMP20221849,42.33703,-83.883905
California Olive Ranch Composting Trial,,Artois,Glenn County,CA,95913,,Research Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022147,39.619065,-122.195395
CHAMPION COMPOST FACILITY,,POTTSBORO,Grayson County,TX,75076,Yes,"source-separated food waste (no meat), brush, grass clippings, compostable serviceware & paper products",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,214.637.6500,https://championwaste.com/organic-recycling/,CMP20223283,33.8469979,-96.6756728
Chicot County CY,,Lake Village,Chicot County,AR,71653,,Yard waste,https://www.adeq.state.ar.us/sw/permits/facility_data.aspx#Display,(870) 265-8015,,CMP202277,33.33397,-91.28638
Chenango (T) Compost,,Binghamton,Broome County,NY,13905,,Biosolids;Wood (Chips),https://data.ny.gov/Energy-Environment/Composting-Solid-Waste-Management-Facilities-Map/y4ic-kfv16,6076484809,,CMP20222390,42.100274,-75.9263439
CITY OF COLUMBUS,,Columbus,Cherokee County,KS,66725,,Yard Waste,KDHE,6204293699,,CMP20221418,37.170865,-94.84318
East Hawaii Organics Facility (Hawaiian Earth Recycling),,HILO,Hawaii County,HI,96720,,"Greenwaste, untreated and unpainted wooden pallets",https://hdoa.hawaii.gov/wp-content/uploads/2019/06/DOH-List-of-Regulated-Commerical-Composting-Facilities-v2.pdf,,https://www.hawaiizerowaste.org/recycle/greenwaste-recycling/,CMP2022988,19.71664,-155.085265
GEORGIA PACIFIC SLUDGE COMPOSTING AND LAND APPLICATION,,Sterling,Hayes County,GA,31111,,industrial paper residuals,https://epd.georgia.gov/search?search=solid+waste+facilities&sm_site_name=epd,912-265-5780,,CMP2022966,40.699611,-100.8619981
D.A.T.T.,,El Nido,Merced County,CA,95317,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022177,37.1358491,-120.49208
DE SMET MAINTENANCE STOCKPILE,,MISSOULA,Missoula County,MT,59807,,,https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,,,CMP20222203,46.87153,-113.9921
Earthbound Environmental Solutions LLC,,Eau Claire,Eau Claire County,WI,54720,,"YARD, SOURCE-SEPARATED COMPOSTABLE MATERIALS",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=50,7152713178,,CMP20223661,44.802855,-91.433235
Ford County,,DODGE CITY,Ford County,KS,67801,,Yard Waste,KDHE,,,CMP20221420,37.756925,-100.01888
Fort Irwin Composting Facility (FICO),,Fort Irwin,San Bernardino County,CA,92310,,Green Material Composting Facility,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022210,35.2586251,-116.700522
"Green Pet Compost Company, LLC",,Gig Harbor,Pierce County,WA,98329,,"manure & bedding, sawdust & shavings",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(253) 777-9939,,CMP20223525,47.383359,-122.6657985
Grimmway Farms Composting,,Rosamond,Kern County,CA,93560,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022235,34.86287,-118.167125
Custom Blended Soils,,CANFIELD,Mahoning County,OH,44406,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222752,41.02206,-80.759355
"Keewatin, City of",,Keewatin,Itasca County,MN,55753,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(218) 327-2857,http://generalwastemn.com/,CMP20222006,47.39653,-93.079195
Lake City Compost Site,,Lake City,Wabasha County,MN,55041,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(651) 380-7774,https://www.ci.lake-city.mn.us/index.asp?SEC=316AB8BB-8394-4587-885A-B0FCA0472F5C&DE=7A2C404E-9F87-42BE-B3B1-A052A243599D,CMP20222010,44.44534,-92.268815
John Brichetto Compost Site D,,Oakdale,Stanislaus County,CA,95361,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022260,37.768415,-120.848235
Lancaster Cty Compost Site,,Lancaster,Grant County,WI,53813,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=158,6087237543,,CMP20223703,42.847935,-90.713145
Los Alamos National Laboratory (WWTP),,Los Alamos,Los Alamos County,NM,87545,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,505-606-2160,,CMP20222354,35.88102,-106.30523
Lincoln County Compost,,Ruidoso Downs,Lincoln County,NM,88346,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,575-937-1474,,CMP20222357,33.331235,-105.587965
Los Nogales Composting Facility,,,El Paso County,NM,79835,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,575-589-0098,,CMP20222348,31.91384,-106.60053
New Washington Composting Facility,,New Washington,Crawford County,OH,44854,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222956,40.960935,-82.85489
NASA John C. Stennis Space Center  ,,BAY SAINT LOUIS,Hancock County,MS,39520,Yes,"Food waste, Animal manure, Other organics, Vegetative debris, Untreated wood waste",https://www.mdeq.ms.gov/wp-content/uploads/2021/10/Active-Solid-Waste-Facility-Listing-July-2021.pdf,(228) 688-1503,,CMP20222131,30.308095,-89.33519
Recology Blossom Valley Organics-Lamont,,Lamont,Kern County,CA,93241,Yes,"Composting Facility (Mixed) - food waste, yard waste",https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022359,35.25973,-118.911675
Rice city of,,Rice,Benton County,MN,56367,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(320) 393-3080,https://www.cityofrice.com/residents.html,CMP20222053,45.75129,-94.22179
ROMINE KEVIN D RECYCLING FACILITY,,HOCKLEY,Harris County,TX,77447,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223331,30.01951,-95.80486
Shredco Multi-Material Recycling,,KEKAHA,Kauai County,HI,96752,,Greenwaste,https://hdoa.hawaii.gov/wp-content/uploads/2019/06/DOH-List-of-Regulated-Commerical-Composting-Facilities-v2.pdf,808.246.2005,,CMP2022996,21.9707591,-159.7133157
"University Of Mississippi, Office Of Sustainability  ",,University,Lafayette County,MS,38601,Yes,"Food waste, Animal manure, Other organics, Vegetative debris, Untreated wood waste",https://www.mdeq.ms.gov/wp-content/uploads/2021/10/Active-Solid-Waste-Facility-Listing-July-2021.pdf,(662) 915-2074,,CMP20222134,34.474415,-89.509945
SPRING BRANCH POND,,MONTGOMERY,Montgomery County,TX,77316,,"*yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223410,30.2771003,-95.5479943
Wapakoneta Composting,,Wapakoneta,Auglaize County,OH,45895,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222891,40.568135,-84.19274
Whitewater Cty,,Whitewater,Walworth County,WI,53190,,YARD,https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=175,,,CMP20223843,42.83369,-88.73887
Windom Compost Site,,Windom,Cottonwood County,MN,56101,,Yard Waste,http://www.mncompostingcouncil.org/find-a-compost-site.html,(507) 831-6137,https://www.windom-mn.com/streets-department/winter-compost-site/,CMP20222101,43.868305,-95.11408
High Country Meats @ Raton Landfill,,Raton,Colfax County,NM,87740,,,https://www.env.nm.gov/solid-waste/wp-content/uploads/sites/24/2018/04/SWB_Compost-facilities-open-Oct-28-2019.pdf,575-445-2449,,CMP20222351,36.903675,-104.43787
NATURAL SOIL SOLUTIONS LLC,,SANTA ROSA,Cameron County,TX,78593,,"*yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223352,26.25351,-97.825365
Town Of Bucksport,,BUCKSPORT,Hancock County,ME,04416,,yard waste,https://www.maine.gov/dep/ftp/reports/leaf-and-yard-compost.pdf,,,CMP20221547,44.575255,-68.793865
City of Wyoming,,Wyoming,Hamilton County,OH,45215,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,,,CMP20222967,39.2257003,-84.4445058
MARBURGER RANCH LLC,,PORT ST. LUCIE,St. Lucie County,FL,34987,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(772) 775-7645 ,,CMP2022912,27.2707797,-80.4357747
Eade Ranch,,San Lucas,Monterey County,CA,93954,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022187,36.12895368,-121.0196536
CLEARWATER MAINTENANCE FACILITY,,CLEARWATER,Missoula County,MT,59825,,,https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,,,CMP20222206,46.7714641,-113.7104559
Ewing Realty Partners LLC,,HIGHTSTOWN,Mercer County,NJ,08520,,"Leaves, Brush, Wood Chips",https://www.nj.gov/dep/dshw/rrtp/classcfc.htm,(609) 947-3868,,CMP20222281,40.271395,-74.52678
CR & R Lakeview,,Lakeview,Riverside County,CA,92567,,Green Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022174,33.80125,-117.144715
City of Gaylord,,GAYLORD,Smith County,KS,67638,,Yard Waste,KDHE,,,CMP20221433,39.64526,-98.84736
John Brichetto Compost Site B,,Oakdale,Stanislaus County,CA,95361,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022258,37.768415,-120.848235
Beacon Falls Leaf Composting,,Beacon Falls,New Haven County,CT,6403,,Leaves,https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,,CMP2022511,41.440615,-73.06105
CITY OF NEODESHA,,NEODESHA,Wilson County,KS,66757,,Yard Waste,KDHE,,,CMP20221434,37.41929,-95.682345
John Brichetto Compost Site C,,Oakdale,Stanislaus County,CA,95361,,Agricultural Material Composting Operation,https://www2.calrecycle.ca.gov/SolidWaste/Site/Search,,,CMP2022259,37.768415,-120.848235
City of St Albans,,St Albans,Kanawha County,WV,25177,,yard waste,https://www.state.wv.us/swmb/State%20Plans/2021%20Complete%20State%20Plan.pdf,304-722-4259,,CMP20223583,38.384095,-81.83228
Greenwich Composting Facility,,Greenwich,Huron County,OH,44837,,"Yard waste (leaves, brush, grass)",https://epa.ohio.gov/Portals/34/document/facility_lists/LICENSED_COMPOSTING_FACILITIES.pdf,(419) 752-4725,,CMP20222964,41.0309,-82.515445
CITY OF PORT RICHEY BRUSH PILE,,PORT RICHEY ,Pasco County,FL,34668,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(727) 597-2258 ,,CMP2022914,28.27636,-82.719645
Finegayan 001B Facility ,,BARRIGADA,,GU,96913,,Green Waste,,,,CMP2022983,13.46219,144.797255
"National Park Service, Kalaupapa Composting Facility",,KALAUPAPA,Kalawao County,HI,96742,Yes,"Greenwaste, food waste, clean wood waste",https://www.nps.gov/kala/getinvolved/sustainability.htm,,,CMP2022992,21.19046,-156.98277
Pine Tree Waste Inc,,Scarborough,Cumberland County,ME,4074,,yard waste,https://www.maine.gov/dep/ftp/reports/leaf-and-yard-compost.pdf,207-510-4846,,CMP20221568,43.58936,-70.339135
CITY OF LORRAINE,,LORRAINE,Ellsworth County,KS,67459,,Yard Waste,KDHE,7855312286,,CMP20221450,38.569545,-98.31558
LWDD HORTICULTURAL WASTE SITE,,DELRAY BEACH,Palm Beach County,FL,33444,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(561) 498-5363 ,,CMP2022901,26.465275,-80.07674
Morris Leaf Composting,,Morris,Litchfield County,CT,6763,,Leaves,https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,,CMP2022553,41.6980291,-73.2332847
Middletown Township Compost,,MIDDLETOWN,Monmouth County,NJ,07748,,Leaves,https://www.nj.gov/dep/dshw/rrtp/classcfc.htm,(732) 616-1585,,CMP20222290,40.43815,-74.11626
ALICE CREEK STOCKPILE SITE,,LINCOLN,Lewis and Clark County,MT,59639,,,https://discover-mtdeq.hub.arcgis.com/datasets/MTDEQ::montana-solid-waste-sites/explore?location=46.611451%2C-110.021200%2C6.87&showTable=true,,,CMP20222205,46.9520895,-112.6815186
Meridan Leaf Composting,,Meriden,New Haven County,CT,6450,,Leaves,https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,,CMP2022549,41.53618,-72.79532
PJS BBQ,,BLUE RIDGE,Collin County,TX,75424,,"*source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223284,33.3022585,-96.4017111
Branford Leaf Composting,,Banford,New Haven County,CT,6405,,Leaves,https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,,CMP2022514,41.281455,-72.815215
CITY OF COPPERAS COVE COMPOSTING FACILITY,,COPPERAS COVE,Lampasas County,TX,76539,,"*wastewater solids, source-separated MSW organics, paper production waste; source-separated meat, fish, dead animal carcasses, oils, greases, or dairy materials; w/ or w/o yard trimmings, clean wood material, vegetative material, paper, manure",https://www.tceq.texas.gov/permitting/waste_permits/msw_permits/msw-data#lists,,,CMP20223411,31.0684338,-97.9531009
SHELLEY OELKERS/BOB KEENER,,LA CROSSE,Rush County,KS,67548,,"Livestock, Manure, Source-Separated (livestock feed waste)",KDHE,,,CMP20221449,38.53219,-99.3096697
CUDJOE KEY TRANSFER STATION,,CUDJOE KEY,Monroe County,FL,33042,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(772) 260-4270 ,,CMP2022903,24.6601564,-81.4794617
City of Rozel,,ROZEL,Pawnee County,KS,67574,,"Yard Waste, Source-Separated (Grain Dust, Spoiled or Waste Grain, Wood Chips)",KDHE,,,CMP20221419,38.1948554,-99.4019742
Ocean Township Compost,,Ocean Twp,Monmouth County,NJ,7755,,Leaves,https://www.nj.gov/dep/dshw/rrtp/classcfc.htm,(732) 531-5000,,CMP20222299,40.263285,-74.038515
City of Reedsburg Leaf and Brush Drop Off Site,,Reedsburg,Sauk County,WI,53959,,"YARD, BARK/BRUSH",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=41,6085246404,,CMP20223636,43.535065,-90.00405
City of Ashland,,Ashland,Saunders County,NE,68003,,yard waste,,,https://www.ashland-ne.com/vnews/display.v/SEC/Residents%7CCompost%20Site,CMP20222235,41.04109,-96.3738
"AR Recyclable Waste, Inc.",,Cross Township,Carroll County,AR,72631,,MSW,https://www.adeq.state.ar.us/sw/permits/facility_data.aspx#Display,,,CMP202264,36.4858468,-93.7654784
Hagel Township PBR Inert Waste Landfill,,Hagel,Benson County,ND,58332,,Wood/Trees,https://deq.nd.gov/Publications/WM/CompostingFacilities.pdf,,https://deq.nd.gov/foia/SolidWaste/ActiveSWLandfills.aspx,CMP20222695,48.034345,-99.76324
JBLM PCSS Storage + Treatment Facility/and Composting Facility,,Fort Lewis,Pierce County,WA,98433-9500,Yes,"food processing waste, landclearing debris, wood debris, yard waste",https://ecology.wa.gov/Waste-Toxics/Reducing-recycling-waste/Waste-reduction-programs/Organic-materials/Managing-organics-compost,(253) 967-3803,,CMP20223527,47.137779,-122.5882395
LONG KEY TRANSFER STATION,,LAYTON ,Monroe County,FL,33001,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(772) 260-4270 ,,CMP2022904,24.825585,-80.814235
Sheridan County,,HOXIE,Sheridan County,KS,67740,,Yard Waste,KDHE,,,CMP20221448,39.355875,-100.43838
West Hartford Leaf Composting,,West Hartford,Hartford County,CT,6107,,Leaves,https://portal.ct.gov/DEEP/Waste-Management-and-Disposal/Organics-Recycling/Active-Leaf-Composting-Facilities,,,CMP2022583,41.7582152,-72.7435439
SUNWEST ACQUISITION CORP,,ARIPEKA ,Pasco County,FL,34679,,yard waste,https://fldeploc.dep.state.fl.us/www_wacs/Reports/Yard_Trash_Processors_current_webupdates.asp,(352) 279-9222 ,,CMP2022909,28.43252,-82.6655288
ArborNature,,Hilton Head Island,Beaufort County,SC,29925,,"Yard waste, clean wood waste, land-clearing debris,  crop field residuals",https://scdhec.gov/environment/land-management/solid-waste/solid-waste-facilities,,,CMP20223236,32.2163098,-80.739525
Woodruff Tn,,Woodruff,Vilas County,WI,54568,,"BARK/BRUSH, YARD",https://dnr.wi.gov/wastemgmt/wm/wmexternal/ShellReportViewer.aspx?RID=93&inst=202,7153569421,,CMP20223854,45.9179413,-89.6951891
"Baltic, City of",,Baltic,Minnehaha County,SD,57003,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 529-5497,,CMP20223249,43.76119,-96.733745
"Bridgewater, City",,Bridgewater,McCook County,SD,57319,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 729-2690,,CMP20223247,43.55122,-97.500855
Cherryfield Foods Inc,,CHERRYFIELD,Washington County,ME,04622,Yes,food processing waste,https://www.maine.gov/dep/ftp/reports/fish-and-food-compost.pdf,,,CMP20221497,44.5977261,-67.9263228
City of Abilene,,ABILENE,Dickinson County,KS,67410,,Yard Waste,KDHE,7852633510,,CMP20221428,38.91956,-97.213945
City Of Calais,,CALAIS,Washington County,ME,04619,,yard waste,https://www.maine.gov/dep/ftp/reports/leaf-and-yard-compost.pdf,,,CMP20221549,45.1847,-67.279115
City of Chanute,,CHANUTE,Neosho County,KS,66720,,Yard Waste,KDHE,6204315293,,CMP20221432,37.685005,-95.45679
City of Cimarron,,CIMARRON,Gray County,KS,67835,,Yard Waste,KDHE,6208552215,,CMP20221427,37.80711,-100.34563
CITY OF AUGUSTA,,AUGUSTA,Butler County,KS,67010,,Yard Waste,KDHE,3167754540,,CMP20221442,37.69022,-96.97556
CITY OF DELPHOS,,DELPHOS,Ottawa County,KS,67436,,Yard Waste,KDHE,,,CMP20221438,39.275855,-97.76542
City of Ellinwood,,ELLINWOOD,Barton County,Ks,67526,,Yard Waste,KDHE,6205643046,,CMP20221437,38.357725,-98.58025
CITY OF CUBA,,CUBA,Republic County,KS,66940,,Yard Waste,KDHE,,,CMP20221441,39.80096,-97.456465
City of Hoisington,,HOISINGTON,Barton County,KS,67544,,Yard Waste,KDHE,6206171219,,CMP20221439,38.517955,-98.77815
"City Of Horn Lake, Leaves Of Life Composting Facility  ",,HORN LAKE,DeSoto County,MS,38637,,"Vegetative debris, Untreated wood waste",https://www.mdeq.ms.gov/wp-content/uploads/2021/10/Active-Solid-Waste-Facility-Listing-July-2021.pdf,(662) 342-3508,,CMP20222129,34.9576301,-90.0413603
City of Lyons,,LYONS,Rice County,KS,67554,,Yard Waste,KDHE,6202573981,,CMP20221431,38.344475,-98.203975
City of Lawrence,,LAWRENCE,Douglas County,KS,66044,,"Yard Waste, Source-Separated (General)",KDHE,7858323032,,CMP20221446,38.966595,-95.23711
City of Parsons,,PARSONS,Labette County,KS,67357,,Yard Waste,KDHE,6204217020,,CMP20221425,37.339605,-95.25837
City of Pittsburg,,PITTSBURG,Crawford County,KS,66762,,Yard Waste,KDHE,6206872602,,CMP20221445,37.411085,-94.7068
CITY OF PRAIRIE VIEW,,PRAIRIE VIEW,Phillips County,KS,67664,,Yard Waste,KDHE,,,CMP20221436,39.832325,-99.573385
City of Winfield,,WINFIELD,Cowley County,KS,67156,,Yard Waste,KDHE,6202215520,,CMP20221429,37.237285,-96.990125
Cowley County,,WINFIELD,Cowley County,KS,67156,,Livestock,KDHE,,,CMP20221440,37.237285,-96.990125
Clinton County Sanitary Landfill (East Site),,GALENA,Jo Daviess County,IL,61036,,,https://illinoiscomposts.org/haulers-processors/,,,CMP20221026,42.4189061,-90.4308779
Grant County,,ULYSSES,Grant County,KS,67880,,Yard Waste,KDHE,,,CMP20221443,37.58236,-101.36067
"Gayville, Town",,Gayville,Yankton County,SD,57031,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 267-4555,,CMP20223248,42.88945,-97.174845
Harvey County,,NEWTON,Harvey County,KS,67114,,"Source-Separated (General), Source-Separated (Grain/Crop Residue), Source-Separated (Sawdust), Yard Waste",KDHE,,,CMP20221444,38.039165,-97.34198
"Harrisburg, City of",,Harrisburg,Lincoln County,SD,57032,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 213-1000,,CMP20223250,43.426975,-96.69469
"Herreid, City of",,Herreid,Campbell County,SD,57632,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 437-2302,,CMP20223242,45.837625,-100.06914
"Howard, City of",,Howard,Miner County,SD,57349,,Yard Waste,https://apps.sd.gov/NR60SolidWaste/main.html#,(605) 772-4391,,CMP20223246,44.01112,-97.52814
Lewiston-Auburn WPCA,,LEWISTON,Androscoggin County,ME,04241,,biosolids/septage,https://www.maine.gov/dep/ftp/reports/sludge-compost.pdf,,,CMP20221524,44.081105,-70.19654
